"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Chiffrier électronique ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Commerce électronique ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Communication écrite ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Communication orale ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Comptabilité de gestion ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Comptabilité financière ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Droit commercial et des affaires ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Économie ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Finance ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Gestion de l'entreprise ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Gestion de projet ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Gestion des ressources humaines ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Marketing ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Mathématiques financières ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Plan d'affaires ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Santé et sécurité ",NA
"17","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Statistiques ",NA
"18","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - administration","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=1c10b5a1-03b8-4d07-ae56-126b8effacb9",NA,"Vente ",NA
