"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Animation et communication ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Enjeux de société en développement communautaire, culturel ou récréatif ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Gestion de projets appliqués ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Gestion des ressources humaines ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Gestion d'organismes à vocation communautaire, culturelle ou récréative ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Gestion financière ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Introduction au droit commercial et à la réglementation des organismes ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Introduction aux affaires ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Leadership organisationnel ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Marketing et stratégies promotionnelles ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Organisation et planification d'événements communautaires, culturels ou récréatifs ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Planification et organisation d'événements et activités ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Relations humaines ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Relations publiques ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Techniques de communication orale et écrite ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - gestion communautaire et culturelle","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3a380608-3d69-4cf5-a7eb-0bbd7042cbda",NA,"Techniques de négociation ",NA
