"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Chiffrier électronique ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Communication orale et écrite en anglais ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Communication orale et écrite en français ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Comportement des consommateurs ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Comptabilité financière ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Droit commercial et des affaires ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Économie ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Finance ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Gestion de l'entreprise ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Gestion de projets ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Marketing ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Mathématiques financières ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Publicité ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Relations publiques ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Santé et sécurité ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Statistiques ",NA
"17","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Stratégies promotionnelles ",NA
"18","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - marketing","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d342332e-eddd-47e6-a3fd-69e0fb769ae6",NA,"Vente ",NA
