"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Comptabilité financière ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Économie ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Finance ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Impôt des particuliers ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Planification fiscale ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Planification de la retraite ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Planification financière personnelle ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Valeurs mobilières ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Gestion d'un portefeuille d'assurance et du risque ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Portefeuilles d'investissement ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Réglementation des investissements et des marchés ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Produits et stratégies d'assurance et de placement ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Démarchage et pratique professionnelle ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Vente et service à la clientèle ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Introduction aux affaires ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Droit des affaires ",NA
"17","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Marketing ",NA
"18","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Comportement organisationnel ",NA
"19","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Gestion des ressources humaines ",NA
"20","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Mathématiques financières ",NA
"21","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Statistiques ",NA
"22","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Communication orale et écrite en anglais ",NA
"23","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Communication orale et écrite en français ",NA
"24","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Santé et sécurité ",NA
"25","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - planification financière","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=66fdbd3e-c210-4545-8c65-be4d7a26819a",NA,"Logiciels de bureau ",NA
