"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Planification, recrutement et sélection du personnel ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Encadrement et supervision du personnel ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Gestion de la performance ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Gestion des relations de travail ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Formation et développement des compétences ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Rémunération et avantages sociaux ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Gestion des informations sur les ressources humaines ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Gestion de la santé et de la sécurité au travail ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Droit du travail ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Comportement organisationnel ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Éthique professionnelle ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Économie ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires - ressources humaines","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=d4f0751f-652d-49ed-bcf7-bbd50c598d74",NA,"Comptabilité ",NA
