"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Chiffrier électronique ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Communication orale et écrite en anglais ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Communication orale et écrite en français ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Comptabilité financière ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Douanes et commerce international ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Droit commercial et des affaires ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Droit en transport ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Économie ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Géographie ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Gestion de l'entreprise ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Gestion financière ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Administration des affaires – logistique et transport","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c47520dd-fb78-432e-962d-d7885507b0cd",NA,"Gestion informatisée des stocks ",NA
