"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Boulangerie et pâtisserie ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Charcuterie ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Compétition culinaire ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Contrôle des coûts ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Cuisine évolutive ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Cuisine internationale ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Cuisine régionale ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Cuisine santé ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Élaboration de menus ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Entrées froides et entrées chaudes ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Fonds, sauces et potages ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Fruits, légumes, pâtes et noix ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Garde-manger ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Hygiène et assainissement alimentaire ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Instruments de mesure ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Mise en place et préparation des aliments ",NA
"17","Collège communautaire du Nouveau-Brunswick (CCNB)","Art culinaire","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=040d1859-9963-44e6-9815-c736d690aa20",NA,"Nutrition ",NA
