"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Analyse des sites de construction ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Code de la construction ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Coffrage, charpenterie et armatures ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Construction d'escaliers ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Construction de planchers ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Construction de toits ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Façades et cloisons ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Façonnage du bois ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Informatique de base ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Interprétations de plans et devis ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Mathématiques ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Outils et équipement ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Charpenterie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=088f4fa2-36c2-4c6a-8060-30a3cbf9a9ed",NA,"Santé et sécurité ",NA
