"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Anglais langue seconde ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Animation radiophonique ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Applications de logiciels ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Communication de masse ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Développement personnel ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Gestion de l'entreprise ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Histoire ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Journalisme ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Littérature ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Publicité ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Radiodiffusion et programmation ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Service de nouvelles ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Techniques audiovisuelles ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Techniques de communication écrite ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Techniques de communication verbale ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Communication médiatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=59fe7a02-287b-49c7-8d3e-5d60609db46b",NA,"Techniques de la langue ",NA
