"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Conception de dessins architectural et artistique ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Conception des aménagements intérieurs résidentiels, commerciaux et institutionnels ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Dessin assisté par ordinateur ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Éléments et principes de design ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Éthique ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Histoire de l'art, de l’architecture et du design ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Matériaux de construction et de finition ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Principes d’éclairage ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Techniques de construction du bâtiment ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Techniques de recherche documentaire ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Design d'intérieur","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c9ea152a-0953-49eb-8d1f-965afb72c7be",NA,"Théorie et application de la couleur ",NA
