"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Évaluation du dommage et des coûts ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Informatique de base ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Relations avec la clientèle ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Santé et sécurité ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Sécurité et protection de l'environnement ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Système de sous-couches ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Techniques d'application de peintures ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Techniques de réparation de la carrosserie ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Techniques de réparation des composantes mécaniques et électriques ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Techniques de réparation des composantes en plastique et en composite ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Techniques de réparation des métaux ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Techniques de soudage ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Débosselage et peinture de carrosserie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=c863a572-6786-4ef0-8bb4-0926310a4875",NA,"Travaux en atelier ",NA
