"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Arithmétique commerciale ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Base de données ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Chiffrier électronique ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Communication orale et écrite en anglais ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Communication orale et écrite en français ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Comptabilité manuelle et informatisée ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Éditique ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Éthique au bureau ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Gestion de bureau ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Gestion de documents ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Gestion de médias sociaux ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Messagerie électronique ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Mise en page et présentations informatisées ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Organisation d'activités ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Réception ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Recherche d'emploi ",NA
"17","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Santé et sécurité ",NA
"18","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Service à la clientèle ",NA
"19","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Techniques de saisie au clavier ",NA
"20","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Traitement de texte ",NA
"21","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de bureau","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=ca8d0a2c-bf19-4691-b761-435db0dd57bb",NA,"Travail de bureau ",NA
