"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Communication orale et écrite en anglais ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Communication orale et écrite en français ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Comptabilité de base et tenue de livres ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Entrepreneuriat ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Gestion de projets ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Gestion des opérations ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Gestion des ressources humaines ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Gestion financière ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Innovation et créativité ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Logiciels de bureau ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Marketing ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Mathématiques financières ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Monde des affaires ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Plan d'affaires ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Santé et sécurité au travail ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Service à la clientèle ",NA
"17","Collège communautaire du Nouveau-Brunswick (CCNB)","Gestion de la petite et moyenne entreprise","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f0884b63-3a01-436c-9ac9-393999ec1e91",NA,"Vente ",NA
