"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Applications mobiles ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Base de données relationnelle ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"« Big Data » et « Data Mining » ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Capteurs intelligents ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Code de logiciels ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Droit de licence des spectres utilisés ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Environnement UI/UX ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Informatiques décisionnelles ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Intelligence d'affaires ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Langage de programmation ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Programmation orientée objet ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Réseaux IP ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Réseau radio et cellulaire ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Internet des objets","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=34107cac-da18-488b-8306-6cfc203d8ba7",NA,"Technologies réseau et protocoles utilisés dans les solutions IdO ",NA
