"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Châssis automobile ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Entretien et inspection du véhicule ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Groupe motopropulseur ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Informatique de base ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Mise au point et réglage de l’automobile ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Moteurs ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Relations avec la clientèle ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Santé et sécurité ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Sciences liées aux métiers ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Système de carburant ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Systèmes de freinage ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Systèmes électriques et électroniques de l'automobile ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Techniques de soudage ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de l'automobile","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=125e4d24-1268-4970-9437-d68e4c13fdfa",NA,"Remplacement des garnitures et des composants de la carrosserie ",NA
