"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Chaudières à chauffage ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Contrôle industriel ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Informatique de base ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Lecture et interprétation de plans ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Mathématiques ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Mécanique de réfrigération, climatisation et chauffage ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Gestion des installations et des machines ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Physique ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Techniques de santé et sécurité ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de machines fixes (Power Engineering)","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=3ce56829-f60e-41f0-b592-4936165b3b0f",NA,"Thermodynamique ",NA
