"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Composantes d'assemblage, canalisations et raccords ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Dépistage de pannes majeures ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Lecture de diagrammes électriques ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Mathématiques ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Mécanique des fluides ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Mécanique des véhicules récréatifs ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Réparation de moteurs à 2 et 4 temps ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Réparation de systèmes de charge et de démarrage ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Réparation de systèmes de sécurité ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Réparation de systèmes de suspension de direction et de freinage ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Réparation de systèmes d'injection, de carburation, de systèmes d'électricité et d'allumage ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Santé et sécurité ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Systèmes électriques et électroniques de véhicules ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Systèmes de refroidissement, de lubrification et d’échappement ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Mécanique de véhicules récréatifs","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=410def0d-c220-4734-83cf-2e7fbefdcd64",NA,"Techniques d'entretien et de réparation des machines à petit moteur ",NA
