"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Architecture des ordinateurs ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Communication écrite en anglais ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Communication écrite en français ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Conception et gestion d'infrastructure réseau (Cisco) ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Gestion de la sécurité ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Gestion de projets ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Installation et réparation des ordinateurs (A+) ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Programmation ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Réseaux Microsoft ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Réseaux sans fil ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Services aux usagers ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Systèmes d'exploitation (Microsoft et Linux) ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Téléphonie IP ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Réseautique et sécurité informatique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=58fa5fab-5208-41be-b2de-a13b0f2c3b72",NA,"Virtualisation des serveurs ",NA
