"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Biochimie ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Biologie moléculaire ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Gestion de la qualité ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Hématologie ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Histologie ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Microbiologie ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Prélèvements sanguins ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Méthodologie de la recherche ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Introduction à la profession ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Santé et sécurité ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Science transfusionnelle ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Sciences de laboratoire médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=91e681f5-4ee9-492c-b5ac-7bec22138d36",NA,"Techniques et instrumentation de laboratoire ",NA
