"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Arithmétique commerciale ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Chiffrier électronique ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Communication orale et écrite en anglais ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Communication orale et écrite en français ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Comptabilité manuelle et informatisée ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Environnement médical ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Éthique au bureau ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Gestion manuelle et informatisée de documents administratifs ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Gestion manuelle et informatisée de dossiers médicaux ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Messagerie électronique ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Réception ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Santé et sécurité ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Service à la clientèle ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Techniques de saisie au clavier ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Terminologie médicale française et anglaise ",NA
"16","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Traitement de texte ",NA
"17","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Transcription de textes médicaux ",NA
"18","Collège communautaire du Nouveau-Brunswick (CCNB)","Secrétariat médical","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f5494711-ae2c-4153-8ab8-00e7e2a39c83",NA,"Travail de bureau ",NA
