"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Application de logiciels ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Circuits électriques ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Contrôle électronique ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Lecture et interprétation de plans ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Réparation des appareils de réfrigération et de climatisation ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Santé et sécurité ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Systèmes de réfrigération et de climatisation ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Systèmes géothermiques ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Systèmes de thermopompes ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Terminologie du métier ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Technique de climatisation et de réfrigération","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=48a14465-bc95-4971-863e-4a3d52bb9e19",NA,"Thermodynamique ",NA
