"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Communication orale et écrite en anglais ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Communication écrite en français ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Criminologie ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Développement personnel ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Éthique ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Informatique de base ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Intervention dans la communauté ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Justice pénale ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Psychologie ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Rééducation sociale ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Relations humaines ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Santé et sécurité ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Sociologie ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques correctionnelles","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2a9a7f1b-f936-40a9-9c8b-d4c4c70587ff",NA,"Techniques correctionnelles ",NA
