"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Approche et évaluation clinique ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Communication écrite en français ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Communication orale et écrite en anglais ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Criminologie ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Éthique ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Informatique de base ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Intervention dans la communauté ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Justice pénale ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Prévention ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Psychologie ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Relations humaines ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Santé et sécurité ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en délinquance","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=95bd8987-df5a-4f3b-aaaf-f92047b7f1cb",NA,"Sociologie ",NA
