"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Communication écrite en français ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Développement personnel ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Rétablissement ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Éthique ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Gestion du comportement ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Interventions dans la communauté ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Loisirs et animation communautaire ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Plans d'intervention ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Psychologie ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Relations familiales ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Relations humaines ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Santé mentale ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Soins de santé ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Santé et sécurité ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques d'intervention en santé mentale et vieillissement","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=09dbf8d6-c980-4c86-bf32-55222cf31cad",NA,"Toxicomanie ",NA
