"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Accueil et service à la clientèle ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Arithmétique commerciale ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Chiffrier électronique ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Communication en milieu de travail ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Comptabilité – coûts ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Comptabilité – entreprise commerciale ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Comptabilité – entreprise de services ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Comptabilité – rémunération ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Environnement de travail et comportement professionnel ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Gestion documentaire ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Micro-informatique et nouvelles technologies ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Rédaction professionnelle ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Santé et sécurité au travail ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Suite bureautique ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Techniques de comptabilité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=737431d1-4185-43ef-849b-d3900cdf04e9",NA,"Techniques de saisie au clavier ",NA
