"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Introduction à la profession, éthique et professionalisme ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Analyse des données électrophysiologiques ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Introduction aux domaines de l'électrophysiologie médicale ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Anatomie et physiologie ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Application de logiciels ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Électrophysiologie cardiaque ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Pharmacologie ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Physiopathologie ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Physique électronique ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Relations humaines ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - cardiologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2510fd8f-e6f4-4adb-96b5-7d319adb12de",NA,"Santé et sécurité ",NA
