"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Introduction à la profesison, éthique et professionalisme ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Introduction aux domaines de l’électrophysiologie médicale ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Analyse des données électrophysiologiques ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Anatomie et physiologie ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Application de logiciels ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Électroencéphalographie ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Électromyographie ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Pharmacologie ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Physiopathologie ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Physique électronique ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Relations humaines ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie d'électrophysiologie médicale - neurologie","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=f69fa28b-2670-4fa5-85af-ee6c73584e07",NA,"Santé et sécurité ",NA
