"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Anglais langue seconde ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Circuits électroniques ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Dessin industriel assisté par ordinateur (DAO) ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Électricité industrielle ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Informatique de base ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Instrumentation d'analyse ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Machinerie électrique ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Mathématiques ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Métrologie ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Rédaction technique ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Régulation de procédés industriels ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Réseaux et transmission de données ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Santé et sécurité ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie de l'instrumentation et de l'automatisation","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=0fa74e92-581b-42d3-ba9b-5787c0697985",NA,"Systèmes et circuits électriques ",NA
