"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Anglais langue seconde ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Circuits électroniques ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Conception de circuits imprimés ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Conception de diagrammes électroniques ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Dessin assisté par ordinateur ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Entretien de matériel électronique ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Gestion de l'entreprise ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Installation de matériel informatique ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Installation et gestion de réseaux ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Mathématiques ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Rédaction technique ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Système de communication numérique ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Systèmes de communication analogique ",NA
"14","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Systèmes informatiques ",NA
"15","Collège communautaire du Nouveau-Brunswick (CCNB)","Technologie du génie électronique","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=2e677b3c-35ca-472a-b834-d249ef9bb6d2",NA,"Techniques de santé et sécurité ",NA
