"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Automates programmables ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Branchement monophasé du consommateur ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Câblage résidentiel ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Canalisations électriques ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Circuits à courant alternatif ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Circuits à courant continu ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Informatique de base ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Lecture de plans ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Mathématiques ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Moteurs monophasés ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Systèmes de chauffage électrique ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Santé et sécurité ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Électricité","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=63e942bf-381c-48f2-a8a2-94b567ecde77",NA,"Transformateurs ",NA
