"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Accessoires électriques et électromécaniques ",NA
"2","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Application de logiciels ",NA
"3","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Caractéristiques des matériaux ",NA
"4","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Codes et symbolisations normalisés ",NA
"5","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Lecture de plans ",NA
"6","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Notions de base du contrôle industriel ",NA
"7","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Principes d’hygiène et de sécurité dans le milieu ",NA
"8","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Réseaux et transmission des données ",NA
"9","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Systèmes électriques ",NA
"10","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Techniques de communication ",NA
"11","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Techniques de la mécanique industrielle ",NA
"12","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Techniques de soudage ",NA
"13","Collège communautaire du Nouveau-Brunswick (CCNB)","Électromécanique de systèmes automatisés","https://ccnb.ca/programme-detudes/nos-programmes.aspx?SectorId=&ObjectType=1&Id=6313e0f2-0587-4ccc-99a0-f1bf24690c3b",NA,"Usinage des métaux ",NA
