"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","FRA111","Français appliqué",NA
"2","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","ANG191","Introduction to Writing Fundamentals",NA
"3","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","CPT191","Comptabilité I",NA
"4","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","INF191","Traitement de textes",NA
"5","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","FIN191","Business Math",NA
"6","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","DEV191","Développement personnel et professionnel",NA
"7","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","COM193","Communication professionnelle",NA
"8","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","DAC191","Vitesse et précision I",NA
"9","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","CPT192","Comptabilité II",NA
"10","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","INF192","Chiffier électronique",NA
"11","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","AFF192","Administration publique et culture patrimoniale",NA
"12","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","BUR191","Bureautique ",NA
"13","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","DAC192","Vitesse et précision II",NA
"14","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","ANG192","Business English",NA
"15","Collège de l'Île","Adjoint administratif bilingue - septembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/adjointe-administrative-bilingue","STG191","Stage en milieu de travail",NA
