"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","BIO162","Introduction au corps humain (45 heures)",NA
"2","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","COM162","Communications professionnelle en soins infirmiers (60 heures)",NA
"3","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","SAN162","Soins infirmiers à la personne âgée en perte d'autonomie (30 heures)",NA
"4","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","NUT162","Principes de nutrition en soins infirmiers (45 heures)",NA
"5","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","SAN169","Approche globale de la santé pour le préposé aux soins (30 heures)",NA
"6","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","FRA191","Français (45 heures)",NA
"7","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","SAN 161","Introduction à la profession (30 heures)",NA
"8","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","SAN 164","Troubles de la santé chez l'adulte et soins infirmiers (60 heures)",NA
"9","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","SAN167","Procédés de soins infirmiers élémentaires (45 heures)",NA
"10","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","SAN 168","Laboratoire de soins infirmiers élémentaires (45 heures)",NA
"11","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","STG164","Stage en soins de longue durée (312 heures)",NA
"12","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","STG 165","Stage en soins aigus pour préposés aux soins (80 heures)",NA
"13","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","STG166","Stage en soins communautaires, en santé mentale et en soins à domicile (120 heures)",NA
"14","Collège de l'Île","Préposé aux soins - sepotembre 2020","https://www.collegedelile.ca/fr/nos-formations/formation-collegiale/prepose-aux-soins","STG167","Préceptorat (120 heures)",NA
