"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-1000","Financial Accounting I","Students are introduced to basic financial accounting theory and practical concepts. Development of skills to prepare, maintain and close financial statements for service and retail businesses are explored. Learn fundamental principles that are required to control and account for issues such as cash, banking, inventory and its value.  "
"3","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-1005","Financial Accounting II","Explore balance sheet items and the relationship they have on other financial statements. Learn the fundamental requirements expected to maintain a receivable and payable system. Directly apply adjustments to account for bad debt, cost of capital assets and owner's equity."
"4","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-1010","Computerized Accounting I","Learn the basic features of an accounting software package. Develop bookkeeping skills by learning about the types of financial information tracked in a business, how to enter that information and how to track the information through the computerized accounting program."
"5","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-1015","Personal Taxation","Students explore various sources to interpret and apply tax legislation. Learn to prepare an individual's income tax return as well as determine any tax installments that are applicable for different situations."
"6","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-2000","Financial Accounting III","Students will examine different accounting systems and learn what needs to be considered for choosing the proper one for an organization. The main areas of focus include: investments, liabilities, trusts, funds, not for profit organizations, income tax, government assistance, leases, branches, notes to financial statements, and the statement of cash flows."
"7","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-2005","Cost Accounting","Students learn how to directly apply calculations in areas such as; cost concepts in developing a budget, allocating service department costs, preparing a breakeven analysis, job order and process costing along with variable, absorption and activity costing. Students explore variance analysis as it relates to standard costs as well as the concept of using relevant costs in decision making."
"8","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-2010","Computerized Accounting II","Explore and learn advanced modules of a computerized accounting system. Students will also compare similarities and differences between accounting software packages."
"9","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-2015","Corporate Taxation","Students develop skills to prepare a corporate income tax return with required schedules and applicable income tax rules. The main areas of focus include: identification of current tax legislation and the use of taxation resources."
"10","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ACCT-2020","Financial Management","Students develop competency in financial statement analysis, working capital management, and applying time value of money concepts to support business decisions.  An awareness of sources and forms of financing, the cost of capital and borrowing, risk management including insurance, and both personal and business financial options to ensure financial well-being are explored."
"11","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","BUSI-1000","Business Law","Explore the basic legal concepts and principles that govern personal and business relationships in Canada.  Students examine legal concepts such as; negligence, formation and enforcement of contracts, professional misconduct and liability, personal property and real estate, negotiable instruments, employment law, and debtor/creditor law."
"12","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","BUSI-1010","Human Resource Management I","Students learn the functions of Human Resource Management (HRM), the value of an organization's human resources, and the challenges facing organizations to survive, remain competitive, grow, and diversify. Students develop skills in the areas of planning, job design, recruitment and selection, placement, orientation, training, record management and various acts and regulations that impact Human Resource Management.   "
"13","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","BUSI-2030","Economics","Explore the basic principles and concepts of micro and macro economics. Learn the concepts of demand and supply, the theory of the firm, and distribution of income, including the study of business behavior and decision making under various market conditions. A macroeconomics view includes the examination of national income levels, employment and prices, the business cycle, factors affecting economic growth and monetary and fiscal policies. "
"14","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","BUSI-2040","Information Management","Students develop fundamental skills required to control information in both a manual and computerized system. The main areas of focus include: developing the work environment, information management systems, record retention, metric conversion, statistics, business forms, working paper files and audit preparation."
"15","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","COMM-1010","Written Communications","Develop professional written communications skills for a variety of workplace settings. Learn and practice how to write and streamline correspondence in personal employment portfolio, media news releases, minutes, letters and written reports."
"16","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","COMM-1020","Oral Communications","Develop oral and non-verbal communication skills for success in today's workplace. Students practice and perform these communication skills through group discussions, debates, presentations, meetings and the use of electronic media."
"17","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"18","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","COMP-1500","Management Information Systems I","Students develop skills to competently use word processing software, electronic spreadsheets, database applications and web-based business tools. The main areas of focus include: creating professional documents using a word processor, preparing complex formulas and data manipulation using spreadsheets, developing databases and queries using business software applications and cloud computing."
"19","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","ENGL-1000","English","Learn, review and practice English grammar, punctuation, proofreading, editing, and spelling skills to demonstrate language usage competency. Develop the ability to convey thoughts clearly and concisely building both written and oral communication skills."
"20","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","MATH-1000","Business Math","Review and apply basic arithmetic and algebra concepts to solve problems. Perform various math calculations for business and financial workplaces such as: merchandising, loans, annuities, investments, and mortgages."
"21","Holland College","Accounting Technology","https://www.hollandcollege.com/programs/accounting-technology.html","PRAC-2011","On-The-Job Training","On-the-Job-Training (OJT) provides students an opportunity to gain confidence by directly applying acquired skills and abilities in a real-work setting. Students learn about professional standards, routines and demands of an organization within that career choice."
