"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","ADMI-1000","Office Procedures I","This course is designed to enable students to learn the skills required to perform basic office procedures for the efficient operation of an office environment. Students learn how to operate telephone systems, provide front line reception and perform duties such as organize meetings, prepare meeting minutes, and scheduling procedures. "
"3","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","ADMI-1010","Office Procedures II","This course is designed to introduce students to the policies, procedures and practices involved with the operation of a safe, efficient, and organized work area. Students learn to operate equipment used in the office environment. Students are introduced to various organizations governing worker's health and safety.  This course also provides students with the skills necessary to develop competency in basic math for general office finances, bank transactions and management of petty cash."
"4","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","ADMI-1110","Keyboarding I","In this course students are introduced to the fundamentals of correct keyboarding technique and develop touch-typing skills to a minimum word standard.  Through individualized practices and drills, students improve their accuracy and speed of text keying to achieve a speed of 30 words per minute (wpm) in a five-minute timing with five or less errors.   "
"5","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","ADMI-1115"," Keyboarding II","This course provides students with the opportunity to further develop correct keyboarding and touch typing skills from Keyboarding I course. Through individualized practices and drills, students improve their accuracy and speed of text keying to achieve a speed of 50 words per minute (wpm) in five-minute timings with five or less errors.    "
"6","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","ADMI-1120","Office Finance","In this course, students learn the basic terminolgy and develop basic manual bookkeeping skills sufficient for a business record-keeping environment. Students are also introduced to basic features of computerized accounting software, focusing on recording and data entry processes."
"7","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","COMM-1095","Interpersonal Communications","In this course, students gain opportunities to promote personal growth and engage in behaviour intended to enhance their interpersonal communication skills in personal and professional settings.  Students experience opportunities to practice verbal and non-verbal communication, active listening, and effective feedback techniques.  Students also practice team building and leadership strategies and explore diversity and cultural issues in interpersonal communications.  "
"8","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","COMM-1310","Business Communications","In this course, students acquire competency in writing professional office correspondence including memos, emails and letters, using standardized proofreading and editing techniques. Students are provided the opportunity to demonstrate verbal communication skills by presenting presentations to inform, educate, and entertain. Students also prepare for employment pursuits by creating a personal resume, cover letter and professional career portfolio. Students further prepare for employment by conducting effective job searches and participating in mock job interviews. "
"9","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"10","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","ENGL-1000","English","Learn, review and practice English grammar, punctuation, proofreading, editing, and spelling skills to demonstrate language usage competency. Develop the ability to convey thoughts clearly and concisely building both written and oral communication skills."
"11","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","NCPR-1001","Standard First Aid and CPR/AED Level C","A comprehensive two-day course offering standard first aid and cardiopulmonary resuscitation (CPR) skills from a certified trainer.  As required by regulation, this course covers CPR and the management of other breathing, airway and circulation emergencies, as well as, the control of bleeding, treating shock, stabilizing fractures and dislocations, head and spine injuries, and more.  Also, includes automated external defibrilators (AED).  This certification expires in 3 years."
"12","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
"13","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","PRAC-1125","Administrative Assistant On-The-Job Training","On-the-Job-Training (OJT) is an essential part of student learning.  An OJT placement provides an opportunity for students to demonstrate their competencies, gain confidence, build on professional skills acquired from formal instruction and gain first hand experiences in their profession.  Through OJT placements, students are exposed to the professional standards, routines and demands of the profession."
"14","Holland College","Administrative Assistant","https://www.hollandcollege.com/programs/administrative-assistant.html","PROF-1000","Professionalism","In this course, students gain a knowledge and understanding of the administrative assistant profession and its affiliated associations. Students explore and demonstrate competencies in a number of professional areas including; ethical decision making, projecting a positive image, personal management skills, problem-solving and conflict management skills. "
