"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","COMM-1005","Workplace Communications","This course is designed to allow students to develop preparatory skills for securing and retaining employment including; workplace communication, time management, critical thinking and problem-solving, and customer service.  Upon successful completion of this course students are able to use oral communications techniques, and create a variety of written documents and reports used in the workplace.  Methods and strategies for job search, preparation and retention are also incorporated."
"3","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"4","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","GTET-1000","Safety, Tools and Preparing Engine","An introduction to the field of repairing and overhauling gas turbine engines.  Students learn to safely and efficiently operate and maintain common hand, power, and measuring tools of the trade.   As well, students examine processes of preparing an engine for shipping and storage, and the operation of lifting and handling equipment with an emphasis on safety and procedures designed to eliminate component damage.										"
"5","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","GTET-1100","Engine Operation I","An introduction to the operation of gas turbine engines including: design and construction; familiarization with various engines; inspection, maintenance and overhaul; and fuel systems.  Emphasis is placed on the purpose of these parts and systems, how the part or system accomplishes its purpose and how the parts or systems relate to one another.										"
"6","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","GTET-1105","Engine Overhaul Theory I","An introduction to the knowledge and processes required to overhaul engines.  Students examine the established standards, reference materials and proper documenting procedures, the established procedures to induct the engine into the overhaul facility, how to perform engine stripping and disassembly, and the process of sorting and inspecting parts.										"
"7","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","GTET-1110","Engine Overhaul Practical I","An introduction to the practical skills and processes required to overhaul engines.  Students apply the established standards, use reference materials and proper documenting procedures, apply the established procedures to induct the engine into the overhaul facility, perform engine stripping and disassembly, and sort and inspect parts.										"
"8","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","GTET-1200","Engine Operation II","Building on knowledge gained in an earlier course, this course consists of lubrication systems, gears and bearings, anit-ice and ignition systems, anit-stall and starter systems, and propeller systems.  An emphasis is placed on the purpose of each part and system, how the part or system accomplishes its purpose and how the parts or systems relate to one another. 										"
"9","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","GTET-1205","Engine Overhaul Theory II","This course introduces students to the knowledge of: engine assembly; engine testing; the work standards for recognizing damanage, repair, and maintenance of engines; and how non-destructive inspection (NDI) is carried out.  Students learn about the steps and procedure documents to organize and record parts, assemble the parts into modules, rework as necessary, balance rotating assemblies, assemble the modules, install external components and inspect the assembled engine for completeness and conformity to standards.  They also learn the procedures to prepare the engine for testing, conduct pre-run safety inspections, test the engine, and completing the appropriate documentation.										"
"10","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","GTET-1210","Engine Overhaul Practical II","This course introduces students to the skills of: engine assembly; engine testing; the work standards for recognizing damanage, repair, and maintenance of engines; and how non-destructive inspection (NDI) is carried out.  Students organize and record parts, assemble the parts into modules, rework as necessary, balance rotating assemblies, assemble the modules, install external components and inspect the assembled engine for completeness and conformity to standards.  They also prepare the engine for testing, conduct pre-run safety inspections, test the engine, and completing the appropriate documentation.										"
"11","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","GTET-1300","Engine Operation III","This course examines basic electrical theory and applies it to engine operation.  As well, students learn geometric dimensions and tolerancing, especially in relation to service bulletins and engine maintenance.										"
"12","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","MATH-1150","Gas Turbine Engine Trade Math","This course is designed to enable the student to develop trade related math skills.  Students acquire competency in math skills as they relate to their program and future career.  Emphasis is placed on developing problem solving and critical thinking skills used in trouble-shooting.  Students are challenged to continually make connections between math and the aircraft technician field, as well as every day applications.										"
"13","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","NCPR-1001","Standard First Aid and CPR/AED Level C","A comprehensive two-day course offering standard first aid and cardiopulmonary resuscitation (CPR) skills from a certified trainer.  As required by regulation, this course covers CPR and the management of other breathing, airway and circulation emergencies, as well as, the control of bleeding, treating shock, stabilizing fractures and dislocations, head and spine injuries, and more.  Also, includes automated external defibrilators (AED).  This certification expires in 3 years."
"14","Holland College","Aircraft Turbine Technician","https://www.hollandcollege.com/programs/aircraft-turbine-technician.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
