"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-1110","Materials and Methods I: Light Wood Frame Construction","An introduction to materials and methods of construction related to residential construction.  Students investigate concrete foundations, light wood frame construction, residential roofing, millwork, and interior finishes. Principles of structural design as it relates to residential construction are also explored."
"3","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-1120","Surveying and Site Planning","This course is an introduction to the fundamental skills of surveying and land development.  Students determine elevations, set benchmarks and conduct topographical and quantity surveys.  Total station theodolites are used to measure angles and distances in order to conduct a closed traverse survey.  Calculating areas of properties and co-ordinates of property markers are also addressed.   In the area of land development students examine site planning, building setbacks, site utilities, site drainage, grading plans and site analysis.  "
"4","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-1200","Architectural Working Drawings I: Residential","Interpret and produce architectural working drawings for residential projects. An overview of architectural graphic standards used in the production of technical drawings.  Utilizing computer aided design software, create a complete set of working drawings based on a conceptual sketch of a residential project and a set of working drawings for a renovation project. Significant lab component.  "
"5","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-1210","History of Architecture","An introduction to the history of architecture in the western world from the period of Ancient Greek Architecture to the Modern Movement. Content is presented chronologically as a history of building types and period styles.  Emphasis is placed on the characteristic elements of each period of architecture.  An overview of architectural design principles, contemporary architecture and domestic styles of architecture is also provided.   "
"6","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-1220","Built Environment I: Residential","An introduction to building systems and thermal and moisture protection in residential projects.  Students investigate insulation, air and vapor barriers, damp-proofing, waterproofing, protective coatings, flashings and interior and exterior wall systems.  The general principles of temperature and air quality control are examined.  Students calculate heat loss and heat gain in residential applications.  As well, they explore electrical systems, HVAC systems and plumbing systems.  "
"7","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-2100","Materials and Methods II: Concrete and Steel Construction ","An introduction to materials and methods related to concrete and steel construction.  Students explore concrete materials, formwork, reinforcement, steel frame construction, and lightweight steel framing. The principles of expansion and contraction control as they relate to concrete construction are also investigated. Students produce sectional details for concrete and steel construction."
"8","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-2110","Materials and Methods III: Building Envelope and Interior Applications","An introduction to the fundamentals of building envelopes for low-rise commercial structures. Students explore masonry materials and construction techniques, curtain wall systems and roof systems. An overview of building design for life safety and the principles, methods, and techniques used in building construction as it relates to sound control and fire protection.     "
"9","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-2120","Building Codes, Standards and Regulations","Interpret and apply municipal, provincial and national codes and standards that apply to all phases of construction including the Municipal Zoning and Development Bylaws, the National Building Code of Canada, Facility Accessibility Design Standards, and the Standards and Guidelines for the Conservation of Historic Places. An overview of Barrier Free Design."
"10","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-2130","Contract Administration ","The administration of contract documents including specifications, bidding procedures, bonds, and change orders. Students are also introduced to the principles of project management and the utilization of project management software. Students explore the principles of quantity take-offs, cost estimation, and file management. Professional ethics are also explored.  "
"11","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-2140","Technical Thesis I","A comprehensive introduction to the process of conducting a research project.  The course content examines technical writing; primary and secondary research and analysis; the development of a facilities programme; and the preparation of a technical proposal and a technical report demonstrating technical problem-solving techniques.  Students conduct a code review and building types study; and explore innovative building systems and sustainable design strategies in their project."
"12","Holland College","Architectural Technology","https://www.hollandcollege.com/programs/architectural-technology.html","ARCH-2200","Built Environment II: Commercial","The study of building systems used in commercial applications.  Students examine the application of air conditioning, ventilation, heating, plumbing, and lighting in commercial projects."
