"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-1000","Safety, Tools and Equipment","An introduction to the tools and equipment used by an Automotive Service Technician.  Safe and efficient work habits, selection and maintenance of tools and equipment are practiced."
"3","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-1005","Maintenance and Service","A thorough introduction to customer service, work orders, and professional demeanor as an Automotive Service Technician.  Students explore and practice these skills while performing Motor Vehicle Inspections (MVI).  Pre-Delivery Inspections (PDI) and preventative maintenance tasks.  Students are also introduced to issues relating to body components and trim. "
"4","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-1100","Braking Systems","This course prepares students to diagnose and repair disc, drum, and hydraulic braking systems.  In addition, students learn to diagnose, service and repair ABS and traction control systems.  A key component of the course is applying safe practices when servicing brakes."
"5","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-1115","Suspension, Steering, and Wheel Alignment","In this course students learn to analyze and service front and rear suspension systems, as well as, inspect and repair tires, and wheels.  Students also learn to inspect and repair manual and power steering gears and steering columns, as well as how to perform two- and four-wheel alignments."
"6","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-1210","Basic Electrical and Introduction to Scan Tools","In this course students learn the fundamentals of electricity in relation to automotive vehicles.  In addition, students are introduced to basic scan tools used for diagnosing issues with automotive computer systems.  Vehicle restraint systems are also covered.	"
"7","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-1221","Drivelines","Course Description:	In this course students learn to diagnose, service and repair drivelines and axles.  The training environment includes lectures, self-study and practical exercises."
"8","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-1225","Engine Fundamentals","This course is designed to provide students with an overview of the various types of engine assemblies, their components, as well as how they operate.  Students learn to apply formulas used to calculate engine displacement, compression ratios, and horsepower."
"9","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2100","Advanced Electrical","This course is designed to further build on the skills taught in the Basic Electrical course, to teach students how Voltage, Amperage and Resistance can affect many electrical circuits.  This course will also cover how to apply an automotive wiring diagram to the diagnostic approach to solve electrical faults.  In addition, students learn how to properly set up and use advanced electrical diagnostic tools, such as Oscilloscopes."
"10","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2110","Vehicle Convenience Systems","In this course students learn about vehicle convenience systems.  Topics include; body control modules, lighting, entertainment systems, anti-theft systems, as well as other instruments and safety devices found in automobiles.  Students are shown how to diagnose and repair vehicle convenience systems.	"
"11","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2115","Vehicle Computer Systems","Students learn about the function of vehicle electronic and computer systems, as well as how to diagnose, repair, and test these systems."
"12","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2120","Ignition Systems","This course prepares students to work with ignition systems.  Students learn about the function of manual and electric ignition systems, and how to conduct tests to diagnose problems, and service these systems based on their findings.	"
"13","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2130","Fuel Delivery Systems and Drivability","This course prepares students to service and repair different types of fuel delivery systems.  Students learn about engine drivablility and performance and use scan tools and DVOM's to verify engine sensor data, and repair performance issues."
"14","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2140","Emissions Control Systems","In this course students learn about the functioning of emissions control systems, as well as how to diagnose problems, and service systems."
"15","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2150","Air Conditioning and Climate Control","In this course students learn about automotive heating and cooling systems, and how to diagnose and repair those systems.  Students are also required to complete the requirements for Ozone Depletion Substance handling."
"16","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2200","Starters and Alternators","In this course students learn about aspects of the engine's electrical system inlcuding how to test electrical charging systems, as well as inspect and service generators and starting systems."
"17","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2205","Differentials","Students learn about the operating principles of differential assemblies as well as methods to diagnose and repair these systems according to manufacturer's specifications."
"18","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2210","All-Wheel and Four-Wheel Dr. Systems","Students learn about All-Wheel and Four-Wheel drive systems and the transfer of power to operate these systems.  Students learn to diagnose, service, remove and install transfer cases."
"19","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2221","Transmission Systems","Students learn how to diagnose and repair manual transmissions systems, including clutches and shift cables.  Students are also introduced to automatic transmission operation, how they function, as well as common maintenance and service procedures."
"20","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2225","Cylinder Heads","This course prepares students to service and repair engine cylinder heads and associated components such as valves, valve springs, and camshafts.  This course also teaches students the importance of automotive cooling systems in relation to regulating an engines temperature."
"21","Holland College","Automotive Technology","https://www.hollandcollege.com/programs/automotive-technology.html","AUTO-2230","Cylinder Blocks","This course prepares students to service and repair engine cylinder blocks and its associated components such as crankshafts, pistons, connecting rods and oil delivery system.  In addition students will learn engine diagnostic approaches to diagnose engine failures.  This course also reviews the basic working principles of a 4 cycle internal combustion engine."
