"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","BLPR-1110","Blueprint Reading and Drafting","An introduction to drawings and their interpretation.  Students learn read and interpret drawings to create an item, to generate a bill of materials and a route sheet.  As well students create simple sketches.	"
"3","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","CADD-1180","Computer-Aided Design","This course is an introduction to basic terminology, concepts and functions of Computer-Aided Design / Manufacturing (CAD/CAM) software.  Students acquire the skills and knowledge to produce and modify technical drawings, set up and manage an electronic filing system, and specify hardware and peripheral equipment required to generate drawings. Students are also introduced to 3D modeling techniques and processes used to produce manufactured parts."
"4","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","COMM-1005","Workplace Communications","This course is designed to allow students to develop preparatory skills for securing and retaining employment including; workplace communication, time management, critical thinking and problem-solving, and customer service.  Upon successful completion of this course students are able to use oral communications techniques, and create a variety of written documents and reports used in the workplace.  Methods and strategies for job search, preparation and retention are also incorporated."
"5","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"6","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","MATH-1005","Math Essentials","This course is designed to provide students with a review of fundamental trade related math skills. Students acquire competency in the math skills as they relate to their chosen trade program and future career. Emphasis is placed on developing problem solving and critical thinking skills. Students are challenged to continually make connections between math and their trade, as well as every day applications."
"7","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","MATH-1205","Cabinetmaking Trade Math","This course is designed to enable the student to develop trade related math skills.  Students acquire competency in the math skills as they relate to their program and future career.  Emphasis is placed on developing problem solving and critical thinking skills used in trouble-shooting.  Students are challenged to continually make connections between math and their field, as well as every day applications.	"
"8","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","NCPR-1001","Standard First Aid and CPR/AED Level C","A comprehensive two-day course offering standard first aid and cardiopulmonary resuscitation (CPR) skills from a certified trainer.  As required by regulation, this course covers CPR and the management of other breathing, airway and circulation emergencies, as well as, the control of bleeding, treating shock, stabilizing fractures and dislocations, head and spine injuries, and more.  Also, includes automated external defibrilators (AED).  This certification expires in 3 years."
"9","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
"10","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","WOOD-1000","Woodworking Materials and Tools I","An introduction to the safe use of hand, power, and stationary power tools used to create projects with a focus on joinery techniques.  Students learn about the properties and uses of various woods.  They grade materials, calculate wood volumes and areas, and prepare a bill of materials for projects created in the shop.  Students also participate in and contribute to weekly safety toolbox meetings, hazard assessments and hazard elimination and control in the shop."
"11","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","WOOD-1105","Woodworking Materials and Tools II","Building on previous skills in cabinetmaking, students work with wood composite materials to create cabinets.  They learn to adjust and operate the tools and equipment used to create wood composite panels in a safe and professional manner.  Shop safety and toolbox meetings are a continued practice in this course."
"12","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","WOOD-1190","CNC","Learn to execute basic programs and determine cut cycle by using software.  Students program and operate the Computer Numerical Controlled (CNC) equipment in a safe and efficient manner. "
"13","Holland College","Cabinetmaking / Wood Manufacturing","https://www.hollandcollege.com/programs/cabinetmaking-wood-manufacturing.html","WOOD-1200","Finishing Processes","A thorough course on sanding and finishing wood projects.  Students learn correct sanding practices before and during the finishing proess and use a wide variety of sanding equipment.   As well, they use a variety of finishing techniques, including a sprayer."
