"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","BLPR-1025","Carpentry Blueprint Reading","This course introduces students to working drawings used for construction.  Students learn to read drawings and interpret the information contained in the drawings.  "
"3","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","CARP-1010","Tools of the Carpentry Trade","Students learn to identify and use tools related to the capentry trade in a safe and efficient manner.  Students are exposed to a variety of hand, portable power, and stationary power tools, as well as measurement and layout tools that are used during the program and throughout their careers."
"4","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","CARP-1015","Framing Fundamentals","Students learn the requirements for framing a structure according to the National Building Code. Students also learn about the forces and loads placed upon a structure, as well as types of applications for floor, wall, exterior deck, and roof framing systems."
"5","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","CARP-1020","Construction Skills Training I","Students gain hands on experience while they learn and apply practical construction skills in the construction of small and large scale projects.  Students gain an overview of construction projects from start to finish, with a strong emphasis on framing techniques, and compliance with the National Building Code (NBC).  Students also gain experience as safety officers to ensure a safe working environment."
"6","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","CARP-1025","Interior and Exterior Finishes","Students learn about the building envelope and explore various types of exterior finishes used in modern construction.  Students also learn about interior systems and finishes, and how these systems apply to building science principles.  "
"7","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","CARP-1030","Doors, Windows, and Trim","Students learn about exterior door and window systems, their characteristics, types of assemblies and accessories, as well as procedures for their layout and installation.  Interior doors are also covered, as well as types and methods of applying interior finish such as trim and baseboard."
"8","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","CARP-1040","Site Preparation, Building Layout and Foundations","Students learn about the activites, procedures, and equipment used to prepare a site for a construction project.  Various types of foundations found in today's construction are discussed, as well as how to layout and prepare for their implementation.  Students also learn how to safely communicate on a worksite and how to safely and properly prepare for the hoisting and rigging of materials and components."
"9","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","CARP-1045","Materials of Construction","This course provides students with a thorough introduction to the materials used in residential construction.  Categories of materials examined and used include metal, woods, composites, concrete, and glues.  Students learn to identify types of woods and explain the process of turning trees into building materials."
"10","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","CARP-1050","Construction Skills Training II","Students gain practical experience while engaging in the construction of a large project for the interior and exterior finish work.   Finishing techniques and compliance with the National Building Code (NBC) are emphasized, as well as preparing for and working with associated trades.  Students also gain experience as safety officers to ensure a safe working environment."
"11","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","COMM-1005","Workplace Communications","This course is designed to allow students to develop preparatory skills for securing and retaining employment including; workplace communication, time management, critical thinking and problem-solving, and customer service.  Upon successful completion of this course students are able to use oral communications techniques, and create a variety of written documents and reports used in the workplace.  Methods and strategies for job search, preparation and retention are also incorporated."
"12","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"13","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","MATH-1005","Math Essentials","This course is designed to provide students with a review of fundamental trade related math skills. Students acquire competency in the math skills as they relate to their chosen trade program and future career. Emphasis is placed on developing problem solving and critical thinking skills. Students are challenged to continually make connections between math and their trade, as well as every day applications."
"14","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","MATH-1015","Math for Carpenters","This course is designed to enable the student to develop trade related math skills. Students acquire competency in the math skills as they relate to their carpentry program and future career. Emphasis is placed on developing problem solving and critical thinking skills. Students are challenged to continually make connections between math and carpentry, as well as every day applications."
"15","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","NCPR-1001","Standard First Aid and CPR/AED Level C","A comprehensive two-day course offering standard first aid and cardiopulmonary resuscitation (CPR) skills from a certified trainer.  As required by regulation, this course covers CPR and the management of other breathing, airway and circulation emergencies, as well as, the control of bleeding, treating shock, stabilizing fractures and dislocations, head and spine injuries, and more.  Also, includes automated external defibrilators (AED).  This certification expires in 3 years."
"16","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
"17","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","NCPR-1066","Certified Fall Protection","Students are trained and become certified in the application and use of fall protection equipment.  Students explore hazards, legislative requirements, as well as various types of fall protection systems and their components.  Demonstration of the proper application and use of fall protection is required in order to pass this course.  "
"18","Holland College","Carpentry","https://www.hollandcollege.com/programs/carpentry.html","SAFE-1015","Occupational Health and Safety For Carpenters","In this course students learn the information needed to prevent accidents and protect themselves and others from injury on the worksite.  As well, students learn the appropriate steps to take in the event of an accident.  Specific components of the course are: provincial legislation regarding workplace health and safety, fires and extinguishers, safe use of ladders and scaffolding, the role of the safety officer in the workplace, and a practical safety component. "
