"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","BUSI-1500","Project Management","Manage technology-based projects.  Students develop project charters, work breakdown structures, task and resources schedules.  Monitoring and controlling  of project scope, time, resources, costs, and quality are emphasized.  Use of project management software as a tool to manage projects is also covered."
"3","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","BUSI-1600","Introduction to Business and ICT","An introduction to how information and communication technology (ICT) can enhance business operations and profitability.  Students investigate the structure and internal functions of small to large businesses.  Enterprise level systems for resource planning, customer relations management, human resource management, supply chain management, and business intelligence are also studied. "
"4","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","CMPH-1000","A+ Hardware","n-depth study of computer hardware, computer peripherals, and computer networking hardware.  Students will disassemble and assembly a PC; upgrade and configure computers; perform maintenance; and repair common computer problems.  Effective problem solving and troubleshooting strategies are developed through hands-on assignments.  The learning outcomes of this course map to components of the Comptia A+ certification."
"5","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","CMPS-1000","A+ Software","Installation, configuration, upgrading, and maintenance of common Microsoft Windows desktop operating systems.  Students are introduced to security technologies, tools, and best practices to protect data and computer resources. Students also setup a small office home office (SOHO) computer network.   Troubleshooting techniques and tools are utilized to efficiently resolve operating system and computer networking issues.  The learning outcomes of this course map to components of the CompTIA A+ certification."
"6","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","CNET-1010","Cisco Ccna I: Introduction to Networks","Study of data communications, computer networking, and router configuration.  Students examine the Open System Interconnection (OSI) model, the TCP/IP protocol suite, Ethernet local-area networks (LANs), networking devices such as routers, switches, and hubs.  Practical hands-on projects develop skills in the construction and testing of computer networks; Internet Protocol (IP) addressing schemes; and router configuration.  The learning outcomes of this course map to portions of the Cisco Certified Network Associate (CCNA) certification exam."
"7","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","CNET-1021","Cisco CCNA II: Routing and Switching Essentials","An exploration of the architecture, components, and operation of routers and switches in enterprise networks.  Students configure routers and switches for basic functionality, and troubleshoot to resolve common issues.  The learning outcomes of this course map to components of the Cisco Certified Network Associate (CCNA) certification."
"8","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","CNET-1050","Network and Information Security","An examination of information and computer system security.  Students investigate security equipment and methods designed to protect a business from security threats. Threat analysis, business continuity, incident response plans, security policies and procedures, cryptography, and securing online transactions are also studied. This course prepares students to obtain the Security+ certification."
"9","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","CNET-1100","Linux Administration","The installation, configuration, and management of Linux distributions to meet clients' needs, hardware availability, and security requirements are explored.  Extensive hands-on laboratory exercises emphasis command-line utilities common to most Linux distributions.  Troubleshooting and documentation are stressed.  The learning outcomes map to CompTIA's Linux+ certification."
"10","Holland College","Computer Networking Technology","https://www.hollandcollege.com/programs/computer-networking-technology.html","CNET-1110","Windows Server Administration","Hands-on projects help students develop the core skills required to work with Microsoft's Windows Servers.  Server installation; management of user accounts and resources; server performance monitoring; and security are explored.  The learning outcomes for this course map to portions of the Microsoft Certified IT Professional (MCITP) certification."
