"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4001","Social Psychology for Correctional Officers","Students are introduced to the discipline of social psychology with an emphasis on practical issues in Corrections.  Students learn to apply basic concepts including scientific methods, the biological basis of behaviour, perception, states of consciousness, learning, motivation and theories of personality.  Emphasis is placed on the causes and consequences of human behaviour including abnormal behaviour.  Students are prepared to deal with many situations and social phenomena which may occur in a correctional setting.  Techniques and strategies to deal with verbal crisis interventions, interpersonal manipulation, suicide prevention/intervention, gangs and cults, stress and critical incident stress are also covered."
"3","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4005","Control Tactics","In this course students develop skills and knowledge in control tactics and learn to react in situations which may require them to apply the principles of the National Use of Force Framework (NUFF).  This course trains students to evaluate situations and respond with the appropriate course of action.  At the end of this training, students are certified in the use of force in accordance with industry best practices.  "
"4","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4011","Correctional Operations","This course provides students with many of the practical skills that are required of a Correctional Officer.  Students are required to perform various security related duties as part of their routine.  At the end of this course, students are thoroughly familiar with the laws and regulations surrounding searches, as well as methods of conducting searches, preservation of evidence and protection of the crime scene. "
"5","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4021","Crisis Management","This course is designed to expose students to a crisis management process within a correctional setting.  The training introduces students to the processes involved in identifying, preparing for, and managing crisis situations in a correctional facility. "
"6","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4026","Defensive Driving","This course provides students with enhanced driving skills necessary for working in law enforcement situations. The course covers defensive driving skills, controlled responses, skid control techniques, and emergency stopping techniques."
"7","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4040","Fitness and Lifestyle","This course is designed to prepare students for the correctional officer profession and the various physical tests that institutions require of their employees.  Students learn and are challenged to lead a healthy lifestyle by improving their fitness level and nutrition.  By the end of this course, students are required to successfully complete the Correctional Officer Physical Abilities Test (COPAT)."
"8","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4056","Canadian Corrections","This course provides students with a substantial overview of the correctional system in Canada as a part of the Criminal Justice system.  Students become familiar with the path of justice from arrest to sentencing and the administration of the sentence, and are made aware of the impact of sentencing alternatives on the prison environment, as well as the process for release and supervision.  Students also learn about the case management process and the role of the entry level correctional officer in the case management family.  Students become familiar with programming opportunities for offenders and the role of the correctional officer in ensuring compliance with programming requirements of offenders.  Students learn about the life of an offender and the challenges they face."
"9","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4060","Law","This course examines the Canadian Criminal Justice system including the Charter of Rights and Freedoms, the Criminal Code (CC), and the Youth Criminal Justice Act.  Students become familiar with the Corrections and Conditional Release Act (CCRA) and Corrections and Conditional Release Regulations (CCRR) as well as other acts, regulations and powers specific to the correctional environment.  "
"10","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4066","On-the-Job Training","On-the-Job Training (OJT) provides students with an opportunity to put into practice and enhance the skills and knowledge gained throughout the program.  In addition, students may gain new skills and knowledge.  Students are expected to complete the duties assigned to them by the On-the-Job placement site."
"11","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4071","Workplace Health and Safety","In this course students learn about those situations and environmental issues that may have an impact on personal health and safety.  Specific topics that are covered include: officer safety, Workplace Hazardous Materials Information System (WHMIS), fire suppression systems, infectious diseases and harms reduction."
"12","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4076","Workplace Communications","This course is designed for self-motivated adult learners to improve their writing skills.  Students develop skills in syntax, grammar, and punctuation, and have their writing evaluated in a variety of assignments.  Students use word processing software to write reports that are commonly found in the field.  Career preparation activities, including resumes, coverletters, and job interviews are also covered in this course."
"13","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4081","Direct Supervision Housing Unit Management","In this course students learn how to run a direct supervision housing unit.  Upon completion of this course students are able to plan and organize the day-to-day functioning of a direct supervision housing unit including inmate and officer safety and managing inmate behavior.  Students acquire the skills to become a leader within the unit."
"14","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","COROFF-4085","Judgmental Scenario Training","This course is designed to provide students with practical scenario-based activities that simulate the full range of subject behaviours and officer responses that are encountered in the field.  Students gain experience responding to incidents with an emphasis on public and officer safety, de-escalation, and decision-making as they learn to apply the National Use of Force Framework.  Legal articulation of the intervention level used, and report writing are re-enforced in this course.      "
"15","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","CRES-1000","Crisis Intervention and De-escalation","Participants learn to use the Crisis Intervention and De-escalation (CID) Model and apply techniques to effectively de-escalate crisis situations, specifically those incidents involving intervention in a mental health crisis.   This blended course consists of online learning activities through the Canadian Police Knowledge Network (CPKN), classroom training, as well as scenario based training.    "
"16","Holland College","Correctional Officer","https://www.hollandcollege.com/programs/correctional-officer.html","PROF-1050","Ethics and Professionalism","The purpose of this course is to examine and practice ethical and professional behaviors to prepare students for making ethical choices in public safety careers.  Students are required to produce and follow a personal code of ethics and to exhibit behaviors and values that are consistent with the expectations of industry and the public."
