"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","BIOL-1100","Environmental Microbiology","An introduction to applied microbiology including a practical and theoretical introduction to structure and function of micro-organisms.  The diversity of the microbial world is examined by comparing bacterial, fungal, protozoan and viral organisms.  The growth, reproduction and enumeration of micro-organisms are studied as well as the effects of environmental conditions on microbial growth.  The laboratory component provides hands-on experience in the isolation, cultivation and enumeration of micro-organisms as well as in the preparation of microbiological media. "
"3","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","CHEM-1005","Environmental Chemistry","This chemistry course focuses on building core knowledge and skills required in the Environmental Science field.  This course provides an examination of the core principles of chemistry, including the properties of elements, compounds and solutions.  Other topics covered include inorganic and organic nomenclature, acids, bases, gas laws, and thermodynamics/kinetics as they relate to environmental chemistry.  It includes an evaluation of the fate and behaviour of  organic and inorganic compounds in the environment. "
"4","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","CHEM-1010","Analytical Chemistry",""
"5","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","COMM-1110","Communications in the Applied Sciences","The vital role that communication plays in the science field will be emphasized in this course.  The importance of accurate recording of laboratory and field activities as well as the ability to communicate findings to both the scientific and general communities will be stressed. "
"6","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"7","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-1000","Environmental Science","Introduction to the fundamental principles of ecology and environmental science. It emphasizes an ecosystem approach to studying the environment.  The interactions between abiotic and biotic are examined to gain an understanding of how a dynamic balance is achieved in natural ecosystems.  This course examines the effect of human intervention on ecosystems and biomes as well as the major trends in resource consumption and use.  This is done to gain a better understanding of how the environment is altered by human action and why these actions may have significant effects on an ecosystem and its sustainability."
"8","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-1010","Air Quality","Examination of factors influencing ambient and indoor air quality.  Course components include a review of types and sources of air pollution, sampling and measurement systems for gases, vapours, aerosols and particulates; environmental and occupational sampling strategies, principles of source (stack gas) sampling, and air pollution treatment and control systems.  A brief review of indoor air quality (IAQ) sampling, control and mitigation is also included.   "
"9","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-2010","Water Quality and Treatment Plant Operations","Exploration of the factors affecting the quality of water resources in the environment.  The physical, chemical and biological properties of water are examined for various uses.   In addition, the operation of water treatment facilities, including the distribution system, is reviewed.  A significant component of the course is the development of field and laboratory skills, using standard methods for sampling and analysis of water samples."
"10","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-2025","Hydrologic Processes","A comprehensive study of surface water and groundwater resources and their inter-relationships. The course focuses on the principles of flow and measurement as well as water resources management.  Topics include an overview of the hydrologic cycle and its component processes, flow measurement, the influence of precipitation events on surface water and groundwater, and the physics of water movement in both the saturated and unsaturated zones. Special topics addressed include sampling techniques, the installation of wells, watershed management, as well as a review of water quality and supply issues."
"11","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-2030","Soil Science ","A comprehensive study of soil systems.  Specifically, students are introduced to the fundamental physical, chemical and biological properties of soils.  An important theme throughout the course is evaluating soil quality for agriculture and engineering applications.  "
"12","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-2040","Environmental Law ","Examination of the regulatory aspects of environmental protection in Canada, with a focus on Prince Edward Island.  Students review the basics of law, including applicable federal and provincial environmental legislation and associated regulations and the key concept of Due Diligence.  "
"13","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-2050","Waste Management ","Introduction to the theory and practice of solid and hazardous waste management with focus on the Prince Edward Island system.  Specialized topics include installation and removal of above-ground and below-ground storage tanks, Transportation of Dangerous Goods Act (TDGA) and preparation of lab packs.  "
"14","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-2060","Environmental Site Assessment","An introduction to the fundamental concepts of performing environmental site assessments.  The basic procedures used to perform Phase I, II and III assessments are discussed.  A review of the regulatory environment is provided.  Case studies are used to highlight different approaches to performing environmental site assessments. "
"15","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-2070","Wastewater Treatment Plant Operations ","An introduction to the operation of municipal wastewater treatment systems, sewage lagoons and on-site treatment systems.  Topics covered include preliminary, primary, and secondary treatment systems, and effluent disinfection and disposal.  Practical aspects of system operation are emphasized including sampling and analysis of wastewater, process control and interpretation of results within the context of applicable federal and provincial regulations."
"16","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","ENVR-2080","Environmental Management and Planning","Examination of development issues and how good environmental management and planning, and the application of problem-solving skills, can support the goal of sustainable development.  Students explore existing conflicts between value systems and the practical implications for considering sustainability issues in a wide variety of applications.  Students apply problem solving skills and concepts of  environmental sustainability to a land development project, considering the scientific, political, economic and ethical implications."
"17","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","GEOG-1000","Map Use and Analysis ","Use and practice mapping and navigation skills in the field.  Students gather and translate data, prepare maps, and experience how a Global Positioning System (GPS) and Global Information System (GIS) are applied in occupational fields."
"18","Holland College","Environmental Applied Science Technology ","https://www.hollandcollege.com/programs/environmental-applied-science-technology.html","MATH-1200","Natural Science Math","This course in mathematics for applied science programs begins with an intensive overview of measurement, emphasizing both metric and imperial units, conversion of simple and derived units, proper treatment of significant digits, and techniques for handling measurement error.  Following a review of algebra and Euclidean geometry (including many scientific calculator functions), the course will continue to apply mathematical skills to solve systems of two and three linear equations by means of graphic, algebraic, and determinant methods; derive and graph functions; and utilize factoring techniques to solve fractional and quadratic equations. The course will utilize trigonometric and vector analysis to solve practical problems involving angles in any quadrant, as well as right and oblique triangles. Finally, the relationship between exponents and radicals, and the relationship between exponential and logarithmic functions will be applied to biotic systems."
