"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","BLPR-1115","Drafting Fundamentals and Blueprint Reading","This course introduces students to the basics of drafting.  In addition, students become familiar with the reading of blueprints for residential construction."
"3","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","COMM-1005","Workplace Communications","This course is designed to allow students to develop preparatory skills for securing and retaining employment including; workplace communication, time management, critical thinking and problem-solving, and customer service.  Upon successful completion of this course students are able to use oral communications techniques, and create a variety of written documents and reports used in the workplace.  Methods and strategies for job search, preparation and retention are also incorporated."
"4","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"5","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-1001","Safety, Shop Practices, and Tools","This course is designed to introduce students to occupational health and safety hazards and best practices in the Heating, Ventilation, and Air Conditioning trade.  Students learn about provincial legislation, best practices pertaining to safely using tools and equipment, and how to recognize safety hazards that are common to job sites.  Students are introduced to various tools, fasteners, piping practices and equipment used in industry today and gain practical experience in their use.  "
"6","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-1100","Oil-Fired Equipment","Upon completion of this course students are able to identify various types of oil burners and burner components.  In addition, students learn to install, service and troubleshoot oil-fired heating systems. "
"7","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-1110","Gas Heating","Upon completion of this course, students are able to identify gas burners and burner components.  In addition, students become familiar with servicing and troubleshooting gas fired heating systems."
"8","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-1155","Electrical Theory","This course is a basic electrical course that includes safety concerns when dealing with electricity.  The types of electrical injuries are explained, along with preventative measures technicians should use.  Students are introduced to basic electrical principles, the characteristics of electrical circuits and electrical meters and their uses.  This course lays a foundation for reading and interpreting system wiring diagrams and provides students with an understanding of direct current, alternating current, power distribution and voltage systems.  "
"9","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-1161","Refrigerant Management","This course is designed to introduce students to various refrigerants used in industry along with the safe handling of those refrigerants.  Students perform the proper procedures for refrigerant recovery, recycling, and reclaiming as well as procedures for system evacuation, dehydration, charging and retrofitting."
"10","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-1171","Introduction to Thermal Systems","This course introduces students to the theory of heat, energy and matter, the thermal properties of various substances, the building envelope, and the heat exchange process. Students also explore the components and operation of solar heating systems, as well as basic refrigeration systems."
"11","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-2010","Hydronic Heating Systems","Upon completion of this course the students have an understanding of the basic concepts of hydronic heating systems, along with system service, installation, and troubleshooting."
"12","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-2020","Forced Air Systems and Ventilation","This course is designed to introduce the student to duct material, air distribution systems, indoor air quality, the properties of air and system balance."
"13","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-2025","Electrical Control Systems","This course covers the installation and troubleshooting of the following electrical systems: heating, cooling, and refrigeration, line and low-voltage and control systems.  Students learn to identify and select line voltage and control conductors, select thermostats, pressure switches, and other electric control devices.  Students troubleshoot electric control devices and circuitry for air-conditioning, modern refrigeration, and heating systems, and are introduced to remote access management tools."
"14","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-2050","HVAC Motors","This course is designed to introduce students to basic electric motors used in the HVAC/R industry.  This course also looks at components for electric motors and the contactors, relays, and overloads used for motor starting and protection. "
"15","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-2060","Refrigerant System Piping Practices","This course familiarizes students with refrigerant piping practices to enable them to install refrigerant piping and identify faults in existing refrigerant piping designs. Students learn about pipe requirements and sizing, insulation and hanging requirements, along with causes of and solutions to system vibration and noise."
"16","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-2075","Heat Pumps and Electrical Heating Systems","This course is designed to introduce students to electric heating equipment, as well as Air-to-Air and Geothermal Heat Pump systems.  Students learn the procedures for installing, servicing, and troubleshooting these systems.   "
"17","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-2085","Refrigerant Systems","Learn about refrigeration systems including how to identify, select, and install the various system components, including evaporators, condensers, metering devices, compressors and system accessories.  Explore typical operating conditions for high, medium, and low temperature refrigeration systems, and troubleshoot abnormal conditions.  "
"18","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","HVAC-2090","Air Conditioning Systems","Students are introduced to typical air conditioning systems, and learn how to identify and select systems according to their application.  Students learn to analyze the psychometric chart, perform heat load calculations, and determine comfort conditions.  In addition, students learn to install systems, including performing start-up, testing, and adjusting of equipment as required.  "
"19","Holland College","Heating, Ventilation and Air Conditioning Technology","https://www.hollandcollege.com/programs/heating-ventilation-and-air-conditioning-technology.html","MATH-1005","Math Essentials","This course is designed to provide students with a review of fundamental trade related math skills. Students acquire competency in the math skills as they relate to their chosen trade program and future career. Emphasis is placed on developing problem solving and critical thinking skills. Students are challenged to continually make connections between math and their trade, as well as every day applications."
