"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1010","Human Resource Management I","Students learn the functions of Human Resource Management (HRM), the value of an organization's human resources, and the challenges facing organizations to survive, remain competitive, grow, and diversify. Students develop skills in the areas of planning, job design, recruitment and selection, placement, orientation, training, record management and various acts and regulations that impact Human Resource Management.   "
"3","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1400","Human Resource Planning and Management","Integrating features of human resource planning, students will develop their skills to become proactive in anticipating the supply of, and demand for, human resources. Considering organizational strategy in conjunction with legislative requirements, students will develop their knowledge base using workplace tools such as SWOT analysis, job analysis, policies and procedures, and metrics."
"4","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1401","Recruitment and Selection","Examine and apply recruitment, selection, and onboarding strategies used to effectively staff organizations. Develop practical tools such as interview guides, rating systems and orientation programs used in real world application. "
"5","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1402","Performance Management","Learn performance management strategies organizations use to support the management and development of a qualified workforce. Students will consider performance review systems, employee engagement strategies, and coaching in the human resource management process."
"6","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1403","Compensation and Benefits","Learn how total rewards programs are developed within organizations. Examine how organizations differentiate between financial and non-financial compensation within a total reward system; what factors influence pay rates and how to measure and value job worth. Evaluate real-world benefit packages, research components of effective benefit packages. Explore payroll requirements and the connection between Human Resources and Payroll."
"7","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1404","Training and Development","Explore a variety of corporate training needs. Learn the importance of developing effective organizational training initiatives including establishing program objectives, creating a training program outline, giving and receiving feedback, and facilitating career planning."
"8","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1405","Occupational Health and Safety","Examine workers' compensation and occupational health and safety legislation. Students will consider and present strategies for ensuring safe and healthy work environments. Explore occupational health and safety programs, employer and employee responsibilities, accident investigation, and health reporting systems."
"9","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1407","Developing Policy Manual Components - Capstone Project","Students build on their knowledge and skills gained in the Human Resource Management program to develop a section of a Human Resource Policy Manual.  "
"10","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-1408","Labour Relations","Explore issues pertaining to employers and employees governed by collective agreements in Canada by examining the history of unions, the motivation for organizing, and the related political and legislative environments. Students are introduced to the certification process, the collective bargaining process, third-party intervention during negotiations and grievance procedures. Examine how the interpretation and administration of collective agreements can contribute to a collaborative relationship between management and the union while complying with legislative requirements. "
"11","Holland College","Human Resource Management","https://www.hollandcollege.com/programs/human-resource-management.html","BUSI-2035","Organizational Behaviour","Students are introduced to concepts that relate to how individuals, groups, and structure affect and are affected by behaviour within organizations. Students examine the impact of individual and group behaviour on an organization's outcomes and processes. The main areas of  focus include the foundations of individual behaviour, the role of motivation, individual and group decision making, leadership, conflict, negotiation, and organization change models."
