"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","ACCT-1001","Financial Accounting I Part 1","Gain an understanding of the accounting cycle and the use of accounting as an information system. Explore basic financial accounting theory and learn to analyze business transactions and the accounts affected by these transactions.  Develop accounting skills by using the rules of debit and credit, journalizing business transactions, posting transactions, and completing financial statements."
"3","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","ACCT-1002","Financial Accounting I Part 2","Building on the concepts from Financial Accounting I Part I, following a manual system and/or using accounting software, learn about subsidiary ledgers and special journals, as well as internal control and basic financial accounting theory and practical concepts.  Develop the skills to prepare, maintain and close financial statements and learn the fundamental principles required to control and account for cash, banking, and inventory."
"4","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","BUSI-1005","Hospitality Law","Explore Canadian law as it applies to the tourism and hospitality industry. Develop an understanding of the legal concepts and principles that govern personal and commercial relationships, and learn how our lives are intimately influenced by the law. "
"5","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","BUSI-1143","Managing Human Resources","Successful completion of this course will equip students with a foundation of basic leadership skills. A special focus is placed on skills which relate to communication, teamwork, management functions, styles of leadership, motivation, staffing, training, delegating, and performance assessments."
"6","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","BUSI-2050","Entrepreneurship","Entrepreneurship education is the process of providing individuals with the concepts and skills to recognize opportunities that others have overlooked, and to have the insight and self-esteem to act where others have hesitated. This course includes instruction in opportunity recognition, obtaining resources, and initiating a business venture. It also provides instruction in business management processes such as business planning, capital development, marketing, and financial analysis. Students will have the opportunity to summarize much of what they have learned by researching and completing a business plan for a specific enterprise.      "
"7","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","COMM-1300","Business Communications","Students acquire competency in clear workplace language, writing, and proofreading skills expected in a professional, technologically sophisticated workplace setting.  Students draft and evaluate various correspondence, as well as demonstrate oral communication skills through business presentations.   "
"8","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"9","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-1007","Wine, Beer, Spirits and Infusion","While gaining an understanding of viticulture and viniculture, discover types of wine (both domestic and international), and how they are produced. Learn the basics of wine tasting and explore food and wine pairing analysis. Explore the creation of  beer, spirits and infusions along with mixology techniques used in hospitality operations."
"10","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-1101","Introduction to Tourism and Hospitality","Explore the evolution of the tourism industry in Canada and the variety of career opportunities available today. Learn the sectors of the tourism and hospitality industry and discover how they interact and contribute to economic growth.  "
"11","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-1201","Professional Food and Beverage Service Theory","Learn the professional behaviours and techniques required for a variety of food and beverage service environments. Explore the basic principles of hospitality and service including requirements for personnel, equipment and styles of service.  Develop competency with safety/sanitation practices, point of sales systems, and related monetary and control systems. Learn basic bartending skills as they relate to beer and spirits. "
"12","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-1202","Professional Food and Beverage Service Lab","Develop professional behaviours and techniques for a variety of food and beverage service environments. Utilize the basic principles of hospitality and service including requirements for personnel, equipment and styles of service. Further develop competency in safety/sanitation practices, the use of a point of sales system, and related monetary and control systems. Apply basic bartending skills as they relate to beer and spirits."
"13","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-1301","Lodging Industry and Room DIVI","Identify the roles and responsibilities of the front office and its relationship with other room division departments. Explore design considerations including physical plant design, the renovation process, and crisis management."
"14","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-1400","Restaurant and Bar Operations","Discover the evolution of the restaurant and bar industry as well as various factors associated with an operation's concept, location and design. Identify the organizational structure of industry operations and the training required to prepare individuals for employment including:staffing,financial issues and customer service."
"15","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-2000","Convention and Catering Management","Develop an awareness of the economic impact of conventions, meetings and banquets in the hospitality industry from a local, national and international perspective. Identify various market segments, determine their requirements and analyze how the hotel reaches these markets and sells their services. Develop the skills required to take a client's initial request and follow the process through to a confirmed booking. "
"16","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-2001","Training and Supervision Lab","Learn how to develop training sessions by determining participant needs, establishing objectives, and choosing instructional methods. Develop communication and supervisory skills required to be an effective leader in the hospitality industry."
"17","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-2167","Food, Beverage and Labour Cost Control","Develop an understanding of the importance of controlling food, beverage and labor costs in the successful operation of a food and beverage outlet.  Utilize cost control procedures as they apply to food, beverage and labor including, pricing, purchasing, storing, issuing, production, sales and scheduling. "
"18","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-2200","Cultural Diversity in the Hospitality Industry","Explore hospitality trends and issues within a global context.  Gain an understanding of the complexities of diversity management within the hospitality industry from a regional, national and international perspective. "
"19","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-2271","Revenue Management","Develop competency with the basics of revenue management in hospitality and related industries including future trends and applications. Learn the evolution of revenue management and the roles, responsibilities, and operational organization of the revenue management department.  Utilize principles, identify processes and apply formulas to analyze the potential profitability of front office and food and beverage operations. "
"20","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","HOSP-2300","Food Theory and Production","Explore food history and the cultures that have influenced and currently shape culinary trends. Learn culinary terminology, basic cooking methods and nutritional considerations for food production. Experience hot and cold food production of various food items.  Sanitation, safe working practices and the basic tools and equipment used in a food production area is emphasized. "
"21","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","MKTG-1000","Marketing","Learn the fundamentals of marketing and the major environmental factors influencing today's marketing environment.  Discover how individual consumers, industrial and organizational buyers reach their purchase decisions. Develop an understanding of target marketing and examine the elements of the marketing mix.    "
"22","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","MKTG-1255","Introduction to Advertising Layout and Design","Explore the general field of advertising layout, graphic design and visual communication. Examine the roles of the client and the advertising agency in the creative planning process. Learn the tools used to develop, design, and produce advertising. "
"23","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","NCPR-1001","Standard First Aid and CPR/AED Level C","A comprehensive two-day course offering standard first aid and cardiopulmonary resuscitation (CPR) skills from a certified trainer.  As required by regulation, this course covers CPR and the management of other breathing, airway and circulation emergencies, as well as, the control of bleeding, treating shock, stabilizing fractures and dislocations, head and spine injuries, and more.  Also, includes automated external defibrilators (AED).  This certification expires in 3 years."
"24","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
"25","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","NCPR-1015","Professional Internship Preparation","Internship is the cooperative educational component of the program in which students are required to complete a work term in the industry.  Prior to beginning an internship placement, there are a number of activites and requirements that should be addressed in order to prepare both students and host sites.  This course is intended to explore those activities, ensuring a smooth and positive experience for all parties involved in this mutually beneficial activity."
"26","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","NCPR-1040","PEI BEST Service Excellence","This recognized PEI BEST Service Excellence Certificate is highly valued by employers throughout the service and hospitality industries seeking staff who are well-trained in providing exceptional customer service. Students will gain both practical skills and techniques for providing excellent customer service. "
"27","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","NCPR-1050","TrainCan","TrainCan training is highly valued by service and hospitality industry employers seeking staff who are well-trained in the areas of safe food and materials handling procedures."
"28","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","NCPR-1055","Responsible Beverage Server","The nationally recognized Responsible Beverage Service Fundamentals certificate is required by employers throughout the service and hospitality industries for the service of alcoholic beverages."
"29","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","NCPR-2055","Professional Internship","Internship is the cooperative educational component of the International Hospitality Management program where students are required to complete a work term relevant to their field of study. This internship placement provides students with the opportunity to put into practice what they have learned, to acquire new skills, and to gain first hand experience."
"30","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","PRAC-1203","Professional Food and Beverage Service Clinical","Demonstrate professional behaviours and techniques for a variety of food and beverage service environments. Apply the basic principles of hospitality and service including requirements for personnel, equipment and styles of service. Demonstrate competency in safety/sanitation practices, the use of a point of sales system, and related monetary and control systems. "
"31","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","PRAC-1301","Lodging Industry and Rooms Division: Practicum","Gain hands on experience while discovering the intricate workings of the front office department and its relationship with the other room division departments. "
"32","Holland College","International Hospitality Management","https://www.hollandcollege.com/programs/international-hospitality-management.html","PRAC-2001","Training and Supervision Clinical","Create and deliver training sessions by determining participant needs, establishing objectives, and choosing instructional methods. Demonstrate supervisory skills including the ability to delegate, communicate, evaluate and provide feedback to trainees. "
