"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","ADMI-1005","Office Procedures","This course is designed to enable students to learn the skills required to perform basic office procedures for the efficient operation of an office environment. Students learn how to operate telephone systems, provide front line reception and perform duties such as organize meetings, prepare meeting minutes, travel arrangements and scheduling procedures. Students also learn to operate equipment used in the office environment. This course also provides students with the skills necessary to develop competency in basic math for general office finances, bank transactions and management of petty cash."
"3","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","ADMI-1110","Keyboarding I","In this course students are introduced to the fundamentals of correct keyboarding technique and develop touch-typing skills to a minimum word standard.  Through individualized practices and drills, students improve their accuracy and speed of text keying to achieve a speed of 30 words per minute (wpm) in a five-minute timing with five or less errors.   "
"4","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","ADMI-1115"," Keyboarding II","This course provides students with the opportunity to further develop correct keyboarding and touch typing skills from Keyboarding I course. Through individualized practices and drills, students improve their accuracy and speed of text keying to achieve a speed of 50 words per minute (wpm) in five-minute timings with five or less errors.    "
"5","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","ADMI-1120","Office Finance","In this course, students learn the basic terminolgy and develop basic manual bookkeeping skills sufficient for a business record-keeping environment. Students are also introduced to basic features of computerized accounting software, focusing on recording and data entry processes."
"6","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","BUSI-1000","Business Law","Explore the basic legal concepts and principles that govern personal and business relationships in Canada.  Students examine legal concepts such as; negligence, formation and enforcement of contracts, professional misconduct and liability, personal property and real estate, negotiable instruments, employment law, and debtor/creditor law."
"7","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","COMM-1310","Business Communications","In this course, students acquire competency in writing professional office correspondence including memos, emails and letters, using standardized proofreading and editing techniques. Students are provided the opportunity to demonstrate verbal communication skills by presenting presentations to inform, educate, and entertain. Students also prepare for employment pursuits by creating a personal resume, cover letter and professional career portfolio. Students further prepare for employment by conducting effective job searches and participating in mock job interviews. "
"8","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"9","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","ENGL-1000","English","Learn, review and practice English grammar, punctuation, proofreading, editing, and spelling skills to demonstrate language usage competency. Develop the ability to convey thoughts clearly and concisely building both written and oral communication skills."
"10","Holland College","Legal Administration","https://www.hollandcollege.com/programs/legal-administration.html","LEGL-1015","Legal Office Procedures and Transcription","This course introduces students to basic legal principles and the legal administrative profession.  Students are introduced to; the roles of a legal administrative assistant, the principle of confidentiality, time tracking and docketing, managing files, tickler/bring forward systems, legal correspondence and documentation. Students are also introduced to transcribing legal correspondence and documents using dictation software.  "
