"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","ACCT-1001","Financial Accounting I Part 1","Gain an understanding of the accounting cycle and the use of accounting as an information system. Explore basic financial accounting theory and learn to analyze business transactions and the accounts affected by these transactions.  Develop accounting skills by using the rules of debit and credit, journalizing business transactions, posting transactions, and completing financial statements."
"3","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","ACCT-1002","Financial Accounting I Part 2","Building on the concepts from Financial Accounting I Part I, following a manual system and/or using accounting software, learn about subsidiary ledgers and special journals, as well as internal control and basic financial accounting theory and practical concepts.  Develop the skills to prepare, maintain and close financial statements and learn the fundamental principles required to control and account for cash, banking, and inventory."
"4","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","BUSI-1000","Business Law","Explore the basic legal concepts and principles that govern personal and business relationships in Canada.  Students examine legal concepts such as; negligence, formation and enforcement of contracts, professional misconduct and liability, personal property and real estate, negotiable instruments, employment law, and debtor/creditor law."
"5","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","BUSI-1143","Managing Human Resources","Successful completion of this course will equip students with a foundation of basic leadership skills. A special focus is placed on skills which relate to communication, teamwork, management functions, styles of leadership, motivation, staffing, training, delegating, and performance assessments."
"6","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","BUSI-2050","Entrepreneurship","Entrepreneurship education is the process of providing individuals with the concepts and skills to recognize opportunities that others have overlooked, and to have the insight and self-esteem to act where others have hesitated. This course includes instruction in opportunity recognition, obtaining resources, and initiating a business venture. It also provides instruction in business management processes such as business planning, capital development, marketing, and financial analysis. Students will have the opportunity to summarize much of what they have learned by researching and completing a business plan for a specific enterprise.      "
"7","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","COMM-1300","Business Communications","Students acquire competency in clear workplace language, writing, and proofreading skills expected in a professional, technologically sophisticated workplace setting.  Students draft and evaluate various correspondence, as well as demonstrate oral communication skills through business presentations.   "
"8","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","COMM-1400","Business Presentations","Develop presentation skills required to be successful in today's business environment. Discover how to prepare to present including setting goals, identifying your audience, dealing with anxiety, developing listening skills and managing feedback. Learn to create business presentations for a variety of purposes and audiences using various tools and techniques."
"9","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"10","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","ENGL-1000","English","Learn, review and practice English grammar, punctuation, proofreading, editing, and spelling skills to demonstrate language usage competency. Develop the ability to convey thoughts clearly and concisely building both written and oral communication skills."
"11","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-1000","Marketing","Learn the fundamentals of marketing and the major environmental factors influencing today's marketing environment.  Discover how individual consumers, industrial and organizational buyers reach their purchase decisions. Develop an understanding of target marketing and examine the elements of the marketing mix.    "
"12","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-1005","Marketing Communications","Integrated marketing communications involves the coordination of all forms of marketing communications in a unified effort to maximize the impact on an organization's customers and stakeholders. Examine the marketing communications mix and learn the nature and dynamics of tools available to marketing communication planners.  "
"13","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-1100","Marketing Research","Develop critical marketing research skills through identifying the issue, establishing various data sources and interpreting the findings to create evidence based recommendations. Students will incorporate ethical considerations related to market research."
"14","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-1110","Advertising","Examine the functions and practices of the advertising industry.  Learn about the different advertising professional roles, the roles of the client and the advertising agency, the creative planning process and the advertising plan.  "
"15","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-1111","Visual Communications","Examine design themes and ways to communicate advertising objectives to the end user.  Execute professional, quality promotional material for advertising and marketing planners using various software.  "
"16","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-2010","Consumer Behaviour","Examine the process of consumer decision making and the implications for marketing. Explore the impact of the purchase environment, culture, and the people who influence buyers and their effect on a buyer's purchase choice. "
"17","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-2014","Digital Marketing I","Examine the components of using, interacting with and creating a social media presence. Learn to develop relevant textual, visual and audio content while discovering the necessity for ethical practices that emphasize privacy and security. Assess trends and emerging technologies in social media marketing  to anticipate future applications."
"18","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-2015","Digital Marketing II","Explore current and emerging digital marketing technologies and their various applications for the workplace. Discover how to apply these technologies and processes to monitor, study, influence and engage the consumer in online communities.  "
"19","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-2016","Forecasting, Metrics and Analytics","Learn the basics of forecasting and metrics for business and marketing planning. Explore analytic and conversion optimization tools to plan for digital marketing and measurement. Examine mainstream and emerging research processes and methodologies with an emphasis on data interpretation and analysis."
"20","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-2020","Public Relations","Explore public relations theory and practice. Study the development of the field including concepts, issues, and principles of practice as well as models and theories guiding the practice. Apply theory to public relations program planning and management. "
"21","Holland College","Marketing and Advertising Management","https://www.hollandcollege.com/programs/marketing-and-advertising-management.html","MKTG-2040","Marketing Management ","Examine the marketing planning process from the marketing background to marketing plan development. Analyze marketing management situations to identify solutions. Relate modern marketing concepts, theory, and strategies to develop a cohesive marketing plan."
