"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","COMP-1200","Computer Applications","Explore the fundamentals of various software programs and information processing systems used in today's workplace. Develop the skills necessary to understand and efficiently use common workplace productivity tools. Learn about operating systems, electronic mail and groupware, word processing, spreadsheets, and electronic presentation software and their integration. "
"3","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","ENGL-1001","Grammar and Editing","Medical office administration requires a high degree of accuracy  and clarity in written communication. Students learn to recognize the basic building blocks of sentence structure and utilize diagnostic principles to punctuate and edit professional correspondence."
"4","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1015","Document Management","Learn standardized formatting techniques while producing general and medical documents.  Develop basic transcribing and editing skills that meet industry standards for efficiency, accuracy and format.  Learn filing rules and procedures for general and medical documents."
"5","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1020","Medical Terminology and Anatomy I","Develop the language tools needed to be able to read and understand medical documentation.  Learn to recognize and define word parts, and apply the rules for building and defining medical terms.  Relate these medical terms to anatomical structures of each body system, and their associated diseases, diagnostic tools and treatments, to reinforce understanding of the language.     "
"6","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1030","Medical Office Procedures I","Learn the basic procedures and tasks performed by clerical and secretarial office staff.  Develop the ability to perform a broad variety of frontline office activities and entry level clinical skills needed to assist patients and the physician."
"7","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1050","Keyboarding Speed and Accuracy Development - Beginner","Develop ten-finger control of the keyboard at the intuitive, reflex level. Learn to use speed and accuracy development tools and techniques to build keyboarding competency to the level of 40 words per minute (wpm) in five-minute supervised timings with five or few errors without using the backspace key."
"8","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1060","Keyboarding Speed and Accuracy Development - Intermediate","Develop speed and accuracy, building on the intuitive, reflex competencies developed in the beginner course.  Advance the application of speed and accuracy development tools and techniques to enhance and improve stroke rate and accuracy to the level of 50 words per minute (wpm) in five-minute supervised timings with five or fewer errors without using a backspace key.    "
"9","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1110","Medical Office Procedures II","Build upon the office skills gained in Office Procedures I by learning procedures and duties that extend beyond the front line. Learn to perform the bookkeeping and supplies management functions that are essential for the operation of a medical setting.  Gain an understanding of the rules that govern meetings, and discover essential minute-taking techniques. "
"10","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1120","Medical Terminology and Anatomy II","Building on the knowledge gained in Medical Terminology and Anatomy I, further develop the language tools needed to be able to read and understand medical documentation.  Learn to recognize and define word parts, and apply the rules for building and defining medical terms.  Relate these medical terms to anatomical structures of each body system, and their associated diseases, diagnostic tools and treatments, to reinforce understanding of the language.   "
"11","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1125","Medical Terminology and Anatomy III","Develop the language tools needed to be able to read and understand medical documentation.  Recognize and define structural elements that form medical terms and link these together to define the medical terms.  "
"12","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1140","Pharmacological Terms and References","Develop the ability to recognize drug terms and prescription information. Learn text and online resources for confirming the spelling and usage of drug and medication terms, as well as medication and prescription-related abbreviations.  "
"13","Holland College","Medical Support Services","https://www.hollandcollege.com/programs/medical-support-services.html","MEDS-1160","Keyboarding Speed and Accuracy Development - Advanced","Develop keyboarding speed and accuracy, building on the intuitive, reflex competencies developed in the beginner and intermediate courses. Fine tune the application of speed and accuracy development tools and techniques to enhance and improve stroke rate and accuracy to the level of 60 words per minute (wpm) in five minute supervised timings with five or fewer errors without using the backspace key. "
