"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","COMM-1200","Communications in the Arts","This course is designed to provide students with the necessary skills required for success in their chosen area of study. Through the exploration of various forms of communication including verbal, nonverbal, written and interpersonal; students will develop the ability to effectively communicate within the College and Art environments."
"3","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","DANC-1100","Dance Foundations: Introduction I","Develop ballet technique, the foundation of most performance dance.  Experience practical exercises that build strength and flexibility in the execution of dance steps. Perform dance sequences and basic dance combinations and explore commercial dance styles and the language of dance.  Practice the elements of professional conduct required in a performance arts environment. "
"4","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","DANC-1105","Dance Foundations: Introduction II","Building on the knowledge gained in Dance Foundations: Introduction I, students will continue to develop ballet technique. Build strength and flexibility in the execution of dance steps as well as enhance the ability to perform dance sequences and basic dance combinations through practical exercises. Explore commercial dance styles and the language of dance.  Practice the elements of professional conduct required in a performance arts environment. "
"5","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","MUSC-1100","Music Theory I","Learn the basic elements of music theory, with an emphasis on music notation including pitches, notes, rhythm, and key signatures. Apply theory in practical settings."
"6","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","MUSC-1110","Music Theory II","Continue to study the basic elements of music theory, with the emphasis on music notation.  Further develop the ability to apply this knowledge in increasingly complex melodic lines.  Demonstrate the ability to analyze a musical score."
"7","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","PAFD-1010","Performing Arts Overview","Learn about the different types of performing arts.  Dance, music, theatre and other live performances will be analyzed for content and execution.  Explore the various business roles supporting performing arts productions."
"8","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","PAFD-1030","Creativity: An Introduction to Creative Thinking","Explore divergent thinking and look for possibilities for creative expression in the everyday.  Employ brainstorming, use analogy and open-ended problem solving to build a toolkit of solutions for approaching artistic problems."
"9","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","THTR-1000","Acting Essentials: Introduction I","Learn the fundamental acting requirements expected of professional actors.  Through physical and vocal exercises discover how bodies and voices are used as theatrical tools.  Learn the methods for successful theatrical communication and expression."
"10","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","THTR-1005","Technical Aspects of Theatre Part I","Discover the technical and design-related aspects of theatre production. Explore the role of the stage manager and learn to properly notate a script and call book. Learn the technical layout and the vocabulary of technical theatre as well as the roles of the key players on the technical team."
"11","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","THTR-1010","Acting Essentials: Introduction II ","Continue to develop the fundamental requirements expected of professional actors including preparation for auditions.  Further develop the ability to use the body and voice as theatrical tools through physical and vocal exercises.  Apply the methods for successful theatrical communication and expression.  Analyze and perform contemporary and classic scenes."
"12","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","THTR-1015","Technical Aspects of Theatre Part II","Continue to discover the technical and design-related aspects of theatre production. Learn to properly notate a script and call book. Demonstrate knowledge of the technical layout, the vocabulary of technical theatre. and the roles of the key players on the technical team."
"13","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","THTR-1020","Improvisation","Explore the skills involved in dramatic improvisation.  Find personal identity through unscripted storytelling.  Develop and perform in improvised drama."
"14","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","VOIC-1000","Voice Essentials: Introduction I","Develop basic vocal technique. Learn to incorporate movement with singing."
"15","Holland College","Performing Arts Foundation","https://www.hollandcollege.com/programs/performing-arts-foundation.html","VOIC-1005","Voice Essentials: Introduction II ","Develop singing abilities focusing on the mechanics of vocal production.  Learn to interpret songs for theatrical performance, with particular consideration given to character development and story advancement.  Explore movement and singing as well as microphone technique."
