"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","BLPR-1090","Blueprint Reading and Drawing","An introduction to the reading and interpretation of drawings and creating basic manual drawings.  Students identify lines, symbols, and projections used in mechanical drawings related to the pipe trades."
"3","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","COMM-1005","Workplace Communications","This course is designed to allow students to develop preparatory skills for securing and retaining employment including; workplace communication, time management, critical thinking and problem-solving, and customer service.  Upon successful completion of this course students are able to use oral communications techniques, and create a variety of written documents and reports used in the workplace.  Methods and strategies for job search, preparation and retention are also incorporated."
"4","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"5","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","MATH-1005","Math Essentials","This course is designed to provide students with a review of fundamental trade related math skills. Students acquire competency in the math skills as they relate to their chosen trade program and future career. Emphasis is placed on developing problem solving and critical thinking skills. Students are challenged to continually make connections between math and their trade, as well as every day applications."
"6","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","MATH-1105","Math for Pipe Trades","Students learn to solve trade-related problems and basic piping diagrams commonly found in the workplace with math.  An introduction to basic principles of matter, density, and pressure that are applied to solve trade-related problems using heat science, physics, and the principles of pressure.  These principles are related to the operation of equipment controls and systems."
"7","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","NCPR-1001","Standard First Aid and CPR/AED Level C","A comprehensive two-day course offering standard first aid and cardiopulmonary resuscitation (CPR) skills from a certified trainer.  As required by regulation, this course covers CPR and the management of other breathing, airway and circulation emergencies, as well as, the control of bleeding, treating shock, stabilizing fractures and dislocations, head and spine injuries, and more.  Also, includes automated external defibrilators (AED).  This certification expires in 3 years."
"8","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
"9","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","NCPR-1110","Forklift Operator","This course is intended to certify participants in operation of a forklift using classroom and hands on experience.  The participants will be required to pass a written and a practical exam. The individuals successfully completing the program will be awarded a forklift operator's certificate."
"10","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","PIPE-1010","Water Distribution and Fixtures","An introduction to potable water distribution and fixtures.  Students select the components, install and service hot and cold potable water systems according to codes and regulations.  In addition, students identify, install, and maintain all components related to the installation of trim and fixtures."
"11","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","PIPE-1020","Pipefitting and Pipe Assembly I","An introduction to the materials and methods of joining pipes in the pipe trades.  Students gain knowledge and skill in joining plastic, cast iron, fiberglass, historic and copper pipes.  The use of hangers and supports, as they are required for piping systems, is included."
"12","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","PIPE-1030","Pipefitting and Pipe Assembly II","An introduction to the use of stainless and carbon steel pipes and the bending, cutting and joining methods used in the pipe trades.  This course also includes the fabrication and installation of hangers and supports, as they are required for piping systems.  Finally, students will examine use of valves in piping systems."
"13","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","PIPE-1060","Drainage, Waste, and Venting Systems","An introduction to drainage and venting systems in the plumbing trade.  Students select pipes and fittings, and install and service systems according to Canadian Plumbing Code."
"14","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","PIPE-1110","Private Water Supply and Disposal Systems","An introduction to private water supply and sewage disposal systems.  Students gain knowledge and skills in the functioning and installation of private water supplies, and sewage disposal systems."
"15","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","PIPE-1120","Hydronic Heating ","An introduction to hydronic heating systems.  Students identify system components, install and service boilers, distribution systems, and heat emission units. "
"16","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","SAFE-1110","Introduction to Safety, Tools, and Equipment","An introduction to safe work practices and the safe use of tools in the pipe trades.   Students become competent in the safe use of hand and power tools and become aware of explosive actuated tools, rigging equipment, and fall arrest equipment. "
"17","Holland College","Plumbing / Pipefitting","https://www.hollandcollege.com/programs/plumbing-pipefitting.html","WELD-1205","Introduction to Welding and Fuel Brazing","An introduction to welding and fuel brazing for plumbers and pipefitters with a focus on using techniques to join and cut pipe.  Students safely operate oxy-fuel cutting and welding equipment."
