"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","BLPR-1140","Blueprint Reading","An introduction to blueprint reading and sketching skills.  Emphasis is placed on developing the math, geometry, and sketching skills that are required to interpret blueprints used in the machinist trade."
"3","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","CADD-1350","Computer-Aided Design","An introduction to basic terminology, concepts and functions of Computer-Aided Design / Manufacturing (CAD/CAM) software.  Students produce technical drawings related to their trade using this software, and are introduced to 3D modeling techniques and processes used to produce manafactured parts."
"4","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","COMM-1005","Workplace Communications","This course is designed to allow students to develop preparatory skills for securing and retaining employment including; workplace communication, time management, critical thinking and problem-solving, and customer service.  Upon successful completion of this course students are able to use oral communications techniques, and create a variety of written documents and reports used in the workplace.  Methods and strategies for job search, preparation and retention are also incorporated."
"5","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"6","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","MACH-1000","Machine Shop Practices","This course is designed to enable students to develop the skills that are required to support machine tool operations, and to develop an understanding of machine shop practices.  Emphasis is placed on safety, workpiece preparation and finishing, material handling, and shop maintenance.  At the end of this course, students are able to use linear measuring tools, layout tools, power tools, saws, and grinders safely, with minimal supervision, and demonstrate a knowledge of the correct use of hand tools by performing bench operations on their projects.										"
"7","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","MACH-1100","Lathe Operation I","An introduction to lathe set-up and operational skills necessary to perform basic machining operations on a rotating workpiece.  At the end of this course, students are able to operate an engine lathe safely with minimal supervision and demonstrate knowledge of engine lathe practices by planning and completing introductory level workpieces.  This course includes the development of trade related measurement and inspection skills using common precision measuring instruments such as micrometers, calipers, and height stands.  Emphasis is placed on the development of visual, physical, math, and documentation skills that are required to perform inspection tasks in a manufacturing environment."
"8","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","MACH-1150","Mill Operation I","An introduction to milling and drilling operations on a fixed workpiece.  At the end of this course the students are able to set-up and operate drill presses and vertical milling machines safely with minimal supervision and demonstrate a knowledge of milling and drilling practices by planning and completing introductory level workpieces.  This course includes the development of trade related measurement and inspection skills using common precision measuring instruments such as micrometers, calipers, and height stands.  Emphasis is placed on the development of visual, physical, math, and documentation skills that are required to perform inspection tasks in a manufacturing environment."
"9","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","MACH-1200","Lathe Operation II","Building on the skills gained in Lathe Operation I, students gain the additional skills that are required in the manufacture of precision turned components.  Emphasis is placed on the use of lathe accessories, and the application of math and geometry.  Students advance their theoretical knowledge and complete projects with an increased level of difficulty.  This course includes the development of trade related measurement and inspection skills using common precision measuring instruments such as micrometers, calipers, and height stands.  Emphasis is placed on the development of visual, physical, math, and documentation skills that are required to perform inspection tasks in a manufacturing environment."
"10","Holland College","Precision Machinist","https://www.hollandcollege.com/programs/precision-machinist.html","MACH-1250","Mill Operation II","Building on the skills gained in Mill Operation I, students gain the more advanced skills that are required in the manufacture of precision milled components.  Emphasis is placed on the use of milling machine accessories, and the practical application of math and geometry skills.  Students advance their theoretical knowledge and complete projects with an increased level of difficulty.  This course includes the development of trade related measurement and inspection skills using common precision measuring instruments such as micrometers, calipers, and height stands.  Emphasis is placed on the development of visual, physical, math, and documentation skills that are required to perform inspection tasks in a manufacturing environment."
