"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10100","Basic Firefighting Level One Theory",""
"3","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10101","Basic Firefighting Level One Practical",""
"4","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10200","Basic Firefighting Level Two Theory",""
"5","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10201","Basic Firefighting Level Two Practical",""
"6","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10310","Hazardous Materials Awareness Theory",""
"7","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10311","Hazardous Materials Awareness Practical",""
"8","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10320","Hazardous Materials Operations Theory",""
"9","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10321","Hazardous Materials Operations Practical",""
"10","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-10500","On-the-Job Training",""
"11","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","BASICFF-11000","Fitness and Lifestyle","This course is designed to prepare students for the firefighting profession and the various physical tests that are required.  Students learn and are challenged to lead a healthy lifestyle by improving their fitness level and nutrition."
"12","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
"13","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","NCPR-1400","Medical First Responder","Pre-hospital care and CPR skills for professional first responders or those wanting to become first responders. This course teaches techniques for sustaining life, preventing further injuries, and caring for illnesses and injuries until the next level of medical personnel arrives. Includes CPR level HCP and AED.  Successful participants will receive a 3-year certification in First Responder, CPR Level HCP, and AED."
"14","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","NCPR-1500","Introduction to Incident Command System (ICS) 100","Introduction to ICS is intended for personnel assigned to an incident or event who have a minimum requirement for understanding ICS.  Students learn about the ICS organization, basic terminology, and common responsibilities, and are provided with basic information about the Incident Command System to enable them to work in a support role at an incident or event, or to support an incident from an off-site location."
"15","Holland College","Professional Firefighter","https://www.hollandcollege.com/programs/professional-firefighter.html","NCPR-1505","Incident Command System 200 (ICS-200)","ICS 200 focuses on smaller, less complex incidents and events and is an awareness-level course on the Incident Command System. The course builds on concepts learned in ICS 100, providing more detail on the features, principles, responsibilities and organizational structure of the system. It also provides the foundation for higher level ICS training."
