"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","BUSI-2075","Performance Business","Learn the business end of show business with an emphasis on the performer as the operator of a self-employed business.  Explore concepts and practices in marketing, management and documentation.  Examine the nature and function of show business professionals and professional associations and organization.  Learn about contract negotiation, managing financial affairs and preparing grant applications. Prepare for auditions, synthesizing all elements of Theatre Performance program."
"3","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","COMM-1200","Communications in the Arts","This course is designed to provide students with the necessary skills required for success in their chosen area of study. Through the exploration of various forms of communication including verbal, nonverbal, written and interpersonal; students will develop the ability to effectively communicate within the College and Art environments."
"4","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","DANC-1100","Dance Foundations: Introduction I","Develop ballet technique, the foundation of most performance dance.  Experience practical exercises that build strength and flexibility in the execution of dance steps. Perform dance sequences and basic dance combinations and explore commercial dance styles and the language of dance.  Practice the elements of professional conduct required in a performance arts environment. "
"5","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","DANC-1105","Dance Foundations: Introduction II","Building on the knowledge gained in Dance Foundations: Introduction I, students will continue to develop ballet technique. Build strength and flexibility in the execution of dance steps as well as enhance the ability to perform dance sequences and basic dance combinations through practical exercises. Explore commercial dance styles and the language of dance.  Practice the elements of professional conduct required in a performance arts environment. "
"6","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","DANC-2100","Dance Foundations: Intermediate I","Continue to develop the technique and movement vocabulary of ballet and jazz dance genres. Learn Tap's distinct movement vocabulary, exploring different  rhythms and styles. Develop muscle memory and technical skill through work on movement sequences and combinations. Focus on incorporation of presentation qualities with movement skills.  Incorporate professional conduct into a studio setting."
"7","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","DANC-2105","Dance Foundations: Intermediate II","Continue to develop the technique and movement vocabulary of ballet, jazz and tap dance genres using increasingly complex movement patterns and rhythm.  Focus on incorporation of presentation qualities with movement skills.  Incorporate professional conduct in the studio setting."
"8","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","MUSC-1100","Music Theory I","Learn the basic elements of music theory, with an emphasis on music notation including pitches, notes, rhythm, and key signatures. Apply theory in practical settings."
"9","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","MUSC-1110","Music Theory II","Continue to study the basic elements of music theory, with the emphasis on music notation.  Further develop the ability to apply this knowledge in increasingly complex melodic lines.  Demonstrate the ability to analyze a musical score."
"10","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","PAFD-1010","Performing Arts Overview","Learn about the different types of performing arts.  Dance, music, theatre and other live performances will be analyzed for content and execution.  Explore the various business roles supporting performing arts productions."
"11","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","PAFD-1030","Creativity: An Introduction to Creative Thinking","Explore divergent thinking and look for possibilities for creative expression in the everyday.  Employ brainstorming, use analogy and open-ended problem solving to build a toolkit of solutions for approaching artistic problems."
"12","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-1000","Acting Essentials: Introduction I","Learn the fundamental acting requirements expected of professional actors.  Through physical and vocal exercises discover how bodies and voices are used as theatrical tools.  Learn the methods for successful theatrical communication and expression."
"13","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-1005","Technical Aspects of Theatre Part I","Discover the technical and design-related aspects of theatre production. Explore the role of the stage manager and learn to properly notate a script and call book. Learn the technical layout and the vocabulary of technical theatre as well as the roles of the key players on the technical team."
"14","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-1010","Acting Essentials: Introduction II ","Continue to develop the fundamental requirements expected of professional actors including preparation for auditions.  Further develop the ability to use the body and voice as theatrical tools through physical and vocal exercises.  Apply the methods for successful theatrical communication and expression.  Analyze and perform contemporary and classic scenes."
"15","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-1015","Technical Aspects of Theatre Part II","Continue to discover the technical and design-related aspects of theatre production. Learn to properly notate a script and call book. Demonstrate knowledge of the technical layout, the vocabulary of technical theatre. and the roles of the key players on the technical team."
"16","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-1020","Improvisation","Explore the skills involved in dramatic improvisation.  Find personal identity through unscripted storytelling.  Develop and perform in improvised drama."
"17","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-2010","Acting Styles I","Gain an understanding of the evolution of various styles of acting.  Investigate performance principles of major practitioners from the 20th and 21st centuries.  Employ previously acquired acting skills while developing versatility across a range of styles."
"18","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-2020","Theatre for Young Audiences","Examine the history and explore thematic variations in the theatre for young audiences genre.  Choose and perform scenes from a variety of styles for audiences of different ages.  Learn to prepare a fully mounted production for presentation. "
"19","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-2050","Playing Shakespeare","Explore keys to unlocking Shakespeare for the actor, using modern text analysis and performance techniques.  Hone ability to speak Shakespearean language clearly and without artifice.  Improve diction and vocal capacity through exercises.   Learn to perform poetry and prose incorporating appropriate performance qualities, and to read and analyze selected plays."
"20","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-2055","Acting Styles II","Further study the evolution of various styles of acting.  Investigate performance principles of major practitioners from the 20th and 21st centuries.  Employ previously acquired acting skills while developing versatility across a range of styles."
"21","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","THTR-2075","Musical Theatre","Explore the interaction between the skills required for the performance of triple threat production numbers. Analyze roles in a musical theatre work. "
"22","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","VOIC-1000","Voice Essentials: Introduction I","Develop basic vocal technique. Learn to incorporate movement with singing."
"23","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","VOIC-1005","Voice Essentials: Introduction II ","Develop singing abilities focusing on the mechanics of vocal production.  Learn to interpret songs for theatrical performance, with particular consideration given to character development and story advancement.  Explore movement and singing as well as microphone technique."
"24","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","VOIC-2010","Voice Ensemble I","Learn the basic aural skills to develop a critical ear to self-assess in a rehearsal setting. Learn to recognize intervals, chords and chord progressions. Progress knowledge of Solfège system. Gain experience singing in smaller ensembles (duets, trios, quartets, etc.) with emphasis on blend, musicianship and dramatic interaction.  Build vocal repertoire."
"25","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","VOIC-2015","Vocal Performance I","Present songs in a guided workshop environment.  Connect techniques of vocal production with elements of storytelling.  Gain skills required to work effectively with an accompanist."
"26","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","VOIC-2020","Voice Ensemble II","Further develop the basic aural skills to develop a critical ear to self-assess in a rehearsal setting. Learn to recognize intervals, chords and chord progressions.  Further progress knowledge of using Solfège system. Gain experience singing in smaller ensembles (duets, trios, quartets, etc.) with emphasis on blend, musicianship and dramatic interaction.  Continue to build vocal repertoire."
"27","Holland College","Theatre Performance","https://www.hollandcollege.com/programs/theatre-performance.html","VOIC-2025","Vocal Performance II","Continue to refine song presentation in a guided workshop environment.  Enhance techniques of vocal production with elements of storytelling.  Further develop skills required to work effectively with an accompanist."
