"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","ACCT-1001","Financial Accounting I Part 1","Gain an understanding of the accounting cycle and the use of accounting as an information system. Explore basic financial accounting theory and learn to analyze business transactions and the accounts affected by these transactions.  Develop accounting skills by using the rules of debit and credit, journalizing business transactions, posting transactions, and completing financial statements."
"3","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","ACCT-1002","Financial Accounting I Part 2","Building on the concepts from Financial Accounting I Part I, following a manual system and/or using accounting software, learn about subsidiary ledgers and special journals, as well as internal control and basic financial accounting theory and practical concepts.  Develop the skills to prepare, maintain and close financial statements and learn the fundamental principles required to control and account for cash, banking, and inventory."
"4","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","BUSI-1005","Hospitality Law","Explore Canadian law as it applies to the tourism and hospitality industry. Develop an understanding of the legal concepts and principles that govern personal and commercial relationships, and learn how our lives are intimately influenced by the law. "
"5","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","BUSI-1143","Managing Human Resources","Successful completion of this course will equip students with a foundation of basic leadership skills. A special focus is placed on skills which relate to communication, teamwork, management functions, styles of leadership, motivation, staffing, training, delegating, and performance assessments."
"6","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","BUSI-2050","Entrepreneurship","Entrepreneurship education is the process of providing individuals with the concepts and skills to recognize opportunities that others have overlooked, and to have the insight and self-esteem to act where others have hesitated. This course includes instruction in opportunity recognition, obtaining resources, and initiating a business venture. It also provides instruction in business management processes such as business planning, capital development, marketing, and financial analysis. Students will have the opportunity to summarize much of what they have learned by researching and completing a business plan for a specific enterprise.      "
"7","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","COMM-1300","Business Communications","Students acquire competency in clear workplace language, writing, and proofreading skills expected in a professional, technologically sophisticated workplace setting.  Students draft and evaluate various correspondence, as well as demonstrate oral communication skills through business presentations.   "
"8","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"9","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","EVNT-1000","Introduction to Event Coordination","Experience the event planning process. Learn the tools and strategies to effectively organize, implement, and monitor all the products, services, and service providers that will bring an event to life."
"10","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","EVNT-1005","Introduction to Fundraising and Sponsors","Explore how the non-profit sector works and how event skills contribute to a non-profit's overall success. Learn why developing and executing fundraising and sponsorship opportunties are essential financial resources for a nonprofit organization.   "
"11","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","EVNT-2005","Meetings Management","Learn about the North American meetings industry as well as the skills needed to be a successful meeting planner. Discover the many different types of meetings with the elements required to plan and execute a successful meeting."
"12","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","EVNT-2010","Creative Events Development I","Plan an event up to the execution phase. Incorporate program concepts and principles addressing all of the critical elements required to successfully execute an event. "
"13","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","EVNT-2015","Creative Events Development II","Execute a planned event. Incorporate program concepts and principles addressing all of the critical elements required to successfully execute an event. "
"14","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","EVNT-2025","Tradeshow Operations","As the rising cost of business to business selling increases, the tourism and travel industry is seeing a remarkable increase in the number of expositions being held as well as an increase in the number of exhibition facilities being built. Discover why trade shows are one of the single best sales and marketing tools available to operators. Learn how to select the right show, implement a trade show plan, attract customers to a booth, sell, and follow up with customers"
"15","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","HOSP-1101","Introduction to Tourism and Hospitality","Explore the evolution of the tourism industry in Canada and the variety of career opportunities available today. Learn the sectors of the tourism and hospitality industry and discover how they interact and contribute to economic growth.  "
"16","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","MKTG-1000","Marketing","Learn the fundamentals of marketing and the major environmental factors influencing today's marketing environment.  Discover how individual consumers, industrial and organizational buyers reach their purchase decisions. Develop an understanding of target marketing and examine the elements of the marketing mix.    "
"17","Holland College","Tourism and Travel Management","https://www.hollandcollege.com/programs/tourism-and-travel-management.html","MKTG-1255","Introduction to Advertising Layout and Design","Explore the general field of advertising layout, graphic design and visual communication. Examine the roles of the client and the advertising agency in the creative planning process. Learn the tools used to develop, design, and produce advertising. "
