"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","COMM-1005","Workplace Communications","This course is designed to allow students to develop preparatory skills for securing and retaining employment including; workplace communication, time management, critical thinking and problem-solving, and customer service.  Upon successful completion of this course students are able to use oral communications techniques, and create a variety of written documents and reports used in the workplace.  Methods and strategies for job search, preparation and retention are also incorporated."
"3","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"4","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","MATH-1005","Math Essentials","This course is designed to provide students with a review of fundamental trade related math skills. Students acquire competency in the math skills as they relate to their chosen trade program and future career. Emphasis is placed on developing problem solving and critical thinking skills. Students are challenged to continually make connections between math and their trade, as well as every day applications."
"5","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","MATH-1110","Math for Welders","Students solve advanced trade related problems using geometric formulas, bend allowances, and trigonometry commonly found in the workplace."
"6","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","NCPR-1001","Standard First Aid and CPR/AED Level C","A comprehensive two-day course offering standard first aid and cardiopulmonary resuscitation (CPR) skills from a certified trainer.  As required by regulation, this course covers CPR and the management of other breathing, airway and circulation emergencies, as well as, the control of bleeding, treating shock, stabilizing fractures and dislocations, head and spine injuries, and more.  Also, includes automated external defibrilators (AED).  This certification expires in 3 years."
"7","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
"8","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","NCPR-1110","Forklift Operator","This course is intended to certify participants in operation of a forklift using classroom and hands on experience.  The participants will be required to pass a written and a practical exam. The individuals successfully completing the program will be awarded a forklift operator's certificate."
"9","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","PRAC-1130","Welding Practicum I","Students will gain industry experience and apply skills and knowledge gained during the preceding courses."
"10","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","RIGG-1080","Introduction to Rigging and Materials Handling","Students develop a working knowledge of safe working loads, safe handling and storage of materials and working load limits with regards to basic rigging.  Participation in a one-day seminar instructed by Crosby Canada is a significant component of this course."
"11","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","WELD-1002","Introduction to Welding Safety and Equipment","Students learn about shop safety for the metal trades, access equipment, occupational health and safety, fire arrest and fire suppression. Students have an introduction to measuring, layout power tools and learn to safely use and maintain various stationary power tools, including shear, iron worker, band saw and bench grinders."
"12","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","WELD-1010","Cutting and Gouging","Students set up and maintain oxy-fuel cutting and welding equipment, ensuring correct parameters and consumables are selected. Then perform cutting, joint removal, welding and brazing. Students also  use the arc cutting process to cut and remove metal.  Students are prepared to safely use Manual Carbon Arc and Plasma Cutting equipment. "
"13","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","WELD-1020","Introduction to Welding Processes","An introduction to the safety aspects, set-up and uses of Sheilded Metal Arc Welding (SMAW), Gas Metal Arc Welding (GMAW), Flux and Metal Cored Arc Welding (FCAW and MCAW) and Gas Tungsten Arc Welding (GTAW) processes.  Students will fillet weld on mild steel in flat and horizontal positions at a beginning level."
"14","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","WELD-1055","Blueprint Reading and Drawing","An introduction to interpreting and creating drawings.  Students learn the basics of reading drawings, symbols and abbreviations, the types of blueprints and fabrication based on drawing interpretation."
"15","Holland College","Welding Fabrication Year 1","https://www.hollandcollege.com/programs/welding-fabrication-year-1.html","WELD-1140","Intermediate Welding Processes","Students continue to build on knowledge and skills in the use of Shielded Metal Arc Welding (SMAW), Gas Metal Arc Welding (GMAW), Flux and Metal Cored Arc Welding (FCAW and MCAW) and Gas Tungsten Arc Welding (GTAW) processes."
