"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","BIOL-1200","Ecology","A foundational course in ecology.  Students study animal behaviour, habitats and niches, life histories, and conservation.  Also, students explore the relationships among various organisms in ecosystems. "
"3","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","BIOL-1201","Animal Ecology","An examination of the parameters of population structure, identification of mammals, birds, amphibians and reptiles, and basic genetics.  Also, students learn to make field identifications, conduct animal population surveys and assessments."
"4","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","BIOL-1205","Plant Ecology I","A survey course of common plants of the local plant communities including bog, dune, forest, roadsides and fields, ponds and saltmarshes.  Students experience hands-on plant collection, identification and habitat assessment instruction in a variety of local habitats.  Students prepare archival quality plant specimens and present them in the form of a plant collection."
"5","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","BIOL-1206","Plant Ecology II","Building on the skills and knowledge gained in Plant Ecology I students learn plant adaptations, plant families, plant anatomy, diseases and winter identification of plants."
"6","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","BIOL-1220","Limnology","A fundamental study of the ecology of freshwater rivers, streams and lakes. Subjects covered are watersheds, streams, lakes, lake types and water quality."
"7","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","BIOL-2200","Invertebrate Zoology","An introduction to the study of zoology and a survey of invertebrates with a focus on field and lab identification of invertebrates commonly encountered by wildlife technicians.  This course includes the use and care of microscopes, and the collection and preservation of specimens.  "
"8","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","BIOL-2201","Vertebrate Zoology","A survey of vertebrates with a focus on their importance from a management perspective. Included in this course are specimen preparation, preservation and vertebrate anatomy and dissection."
"9","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","CHEM-2000","Environmental Chemistry","Exploration of basic chemistry and chemical processes as they apply to nutrient cycling, soils, climate change, long range transport of atmospheric pollutants, waste management/nutrient enrichment, heavy metals in the environment, toxic organic chemicals/pesticides, and water pollution and purification.  Knowledge gained will be applied to aspects of environmental monitoring."
"10","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","COMM-1110","Communications in the Applied Sciences","The vital role that communication plays in the science field will be emphasized in this course.  The importance of accurate recording of laboratory and field activities as well as the ability to communicate findings to both the scientific and general communities will be stressed. "
"11","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"12","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","GEOG-1000","Map Use and Analysis ","Use and practice mapping and navigation skills in the field.  Students gather and translate data, prepare maps, and experience how a Global Positioning System (GPS) and Global Information System (GIS) are applied in occupational fields."
"13","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","MATH-1200","Natural Science Math","This course in mathematics for applied science programs begins with an intensive overview of measurement, emphasizing both metric and imperial units, conversion of simple and derived units, proper treatment of significant digits, and techniques for handling measurement error.  Following a review of algebra and Euclidean geometry (including many scientific calculator functions), the course will continue to apply mathematical skills to solve systems of two and three linear equations by means of graphic, algebraic, and determinant methods; derive and graph functions; and utilize factoring techniques to solve fractional and quadratic equations. The course will utilize trigonometric and vector analysis to solve practical problems involving angles in any quadrant, as well as right and oblique triangles. Finally, the relationship between exponents and radicals, and the relationship between exponential and logarithmic functions will be applied to biotic systems."
"14","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","MATH-1300","Statistics","Exploration of the essentials of statistical collection, analysis, and interpretation.  Topics covered include the principles of statistical design, frequency distributions, descriptive statistics, measures of central tendency and dispersion, basic probability, standard normal distributions, linear regression and correlation, and a variety of statistical tests for goodness of fit, differences between means, and identification of outliers.  Emphasis will be placed on the use of statistical software for data analysis."
"15","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","NCPR-1002","Workplace Hazardous Materials Information Systems","Students complete Workplace Hazardous Materials Information System (WHMIS) training and certification."
"16","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","NCPR-1100","ATV Safety","Students will be trained and certified in safe ATV riding practices."
"17","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","NCPR-1101","Silviculture Worker Lesson Plan","While dealing with the tools of the forestry trade, particularly chainsaw safety and the physical well being of the worker, the Lesson Plan also covers the mental well being of the worker by covering such areas as harassment and employee rights. The plan begins with intensive classroom instruction and is followed with practical one-on-one, hands-on instruction in the woodlot."
"18","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","NCPR-1102","Pleasure Craft Operator","Students receive training and certification in safe boating practices,rules and regulations and will know what they mean and how to apply them in real life situations. Also they will understand and use charts, aids to navigation, and know how to communicate effectively with other pleasure craft operators. They will be prepared for and know how to avoid dangerous situations and how to protect our environment."
"19","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","NCPR-1103","Advanced Wilderness and Remote First Aid","Students receive training and certification in Advanced Wilderness and Remote First Aid, ideal for those participating in wilderness or remote activities within hours or days of advanced medical care.  This course will enable participants to have an appreciation for the realities of providing First Aid in a wilderness and remote environment.  Emphasis will be on practical skills, decision making, and management of the outdoor environment.  Basic First Aid and CPR are included."
"20","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","NCPR-1104","Canoe Safety","Students are trained and certified in aspects of operating a canoe safely."
"21","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","NCPR-1105","Canadian Firearms Safety Course","Students are trained and certified in firearms safety: the evolution of firearms, major parts, types and actions; basic firearms safety practices; ammunition; operating firearm actions; safe handling and carry procedures; firing techniques and procedures; care of non-restricted firearms; responsibilities of the firearms owner/user; and safe storage, display, transportation and handling of non-restricted firearms."
"22","Holland College","Wildlife Conservation Technology","https://www.hollandcollege.com/programs/wildlife-conservation-technology.html","NCPR-1107","Canadian Aquatic Biomonitoring Network (cabin) Field Assistant Training","The objective of the CABIN Training Program is to provide participants with the necessary skills and knowledge to conduct nationally standardized freshwater benthic macroinvertebrate monitoring and assessments.  Upon completion of this program, participants will be certified to assist CABIN Field Technicians/Program Managers in CABIN protocols.  "
