"","Institution","Program","Program_url","Code","Name","Description"
"1","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","SAFE-1005","PEI Occupational Health and Safety","An overview of the Occupational Health and Safety Act of Prince Edward Island. Students examine the legislation, how PEI employees are protected while on the job and the responsibilities of employees and employers."
"2","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","BLPR-1015","Blueprint Reading and Sketching","This course introduces students to blueprint reading and sketching.  Reading of construction and engineering drawings is a core skill for technicians in the wind energy sector.  Students work with various types of technical drawings and specification packages, and estimate materials and timelines from drawing packages.  In addition, students create simple sketches using standard drawing implements."
"3","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","COMM-1005","Workplace Communications","This course is designed to allow students to develop preparatory skills for securing and retaining employment including; workplace communication, time management, critical thinking and problem-solving, and customer service.  Upon successful completion of this course students are able to use oral communications techniques, and create a variety of written documents and reports used in the workplace.  Methods and strategies for job search, preparation and retention are also incorporated."
"4","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","COMP-1000","Computer Essentials","In this course, students are introduced to the fundamentals of various software programs and information processing systems used in today's workplace and educational environments. Students develop the skills necessary to understand and efficiently use common workplace productivity tools. The main areas of focus include: operating systems, e-mail and groupware, word processing, spreadsheets, electronic presentation software, and the integration of these technologies. "
"5","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","ELEC-1405","Wind Energy Electrical Fundamentals","This course introduces Wind Turbine Technician students to the basic principles required to solve alternating current (AC) and direct current (DC) circuits.  The relationships among voltage, impedance, and current are analyzed and reinforced with theory and practical lab activities.  "
"6","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","ELEC-1410","Wind Turbine Electrical Equipment and Distribution","Students are introduced to electrical equipment used in wind turbine generators and how those generators are connected to the distribution grid.  Students become familiar with electrical generation and distribution equipment, and AC/DC machines, with attention paid to monitoring, testing and maintenance of equipment and systems."
"7","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","ELEC-1415","Wind Turbine Controls","This course is designed to introduce students to the basic theory and operation of common industrial control systems used in the wind energy industry.  Networking principles, protocols, and commonly used hardware types are examined.  Students practice common troubleshooting and diagnostic techniques."
"8","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","FLUD-1070","Wind Turbine Hydraulics","This course is an introduction to fluid power technology as it relates to hydraulic systems. Topics covered include; the theory of hydraulics, types of fluids, conductors and seals, reservoirs, hydraulic actuators, control valves and pumps. Students focus on the fundamentals of hydraulic system components, and skills are reinforced through laboratory work. "
"9","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","MATH-1040","Wind Turbine Trade Math","This course is designed to enable the student to develop trade related math skills.  Students acquire competency in the math skills as they relate to their trade and future career.  Emphasis is placed on developing problem solving and critical thinking skills that are used in trouble-shooting.  Students are challenged to continually make connections between math and the electrical field, as well as every day applications."
"10","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","MECH-1110","Wind Turbine Mechanical Systems I","Students are introduced to basic mechanical theory and standard work practices with mechanical systems.  Use of hand tools, tool inspection, fastener selection and application, and lubrication techniques are explored."
"11","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","MECH-1120","Wind Turbine Mechanical Systems II","Students build on their theoretical knowledge to assemble drivetrain systems.  Students learn about bearing systems, and assemble shafts with plain and anti-friction bearings.  Emphasis is placed on leveling and alignment of machines with both traditional hand tools and electronic laser equipment.  The role of vibration analysis as a diagnostic and predictive tool is also explored. "
"12","Holland College","Wind Turbine Technology","https://www.hollandcollege.com/programs/wind-turbine-technology.html","NCPR-1001","Standard First Aid and CPR/AED Level C","A comprehensive two-day course offering standard first aid and cardiopulmonary resuscitation (CPR) skills from a certified trainer.  As required by regulation, this course covers CPR and the management of other breathing, airway and circulation emergencies, as well as, the control of bleeding, treating shock, stabilizing fractures and dislocations, head and spine injuries, and more.  Also, includes automated external defibrilators (AED).  This certification expires in 3 years."
