"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01H5","To analyze the work functions",NA
"2","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01H6","To acquire an overall view of a company in the context of globalization",NA
"3","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01H7","To make use of common operating systems and software applications for administrative purposes",NA
"4","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01H8","To analyze and process data in the accounting cycle",NA
"5","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01H9","To research and process information for management purposes",NA
"6","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HA","To communicate and interact in a management context, using a client-based approach",NA
"7","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HB","To use legal sources applicable to administrative and commercial contexts",NA
"8","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HC","To use statistical methods for management purposes",NA
"9","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HD","To participate in the financial analysis of investment and financing projects",NA
"10","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HE","To contribute to the planning, budget control and performance measurement of the company's activities",NA
"11","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HF","To contribute to the management of working capital",NA
"12","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HG","To use and adapt management methods and tools",NA
"13","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HH","To supervise the personnel in one’s department",NA
"14","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HJ","To produce a computer application to meeta need for administrative information",NA
"15","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HK","To communicate in French in a business context",NA
"16","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HL","To use macroeconomic information for management purposes",NA
"17","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HM","To carry out activities related to a business startup",NA
"18","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HN","To contribute to an integrated approach to quality",NA
"19","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HP","To provide technical support for activities related to client services",NA
"20","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HQ","To manage inventory and the acquisition of goods and services",NA
"21","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HR","To participate in the cost accounting process for geeds, services or activities",NA
"22","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HS","To provide technical support in carrying out international commercial transactions",NA
"23","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HT","To assure the implementation of a computerized accounting system and support for day-to-day operations",NA
"24","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HU","To provide technical support for income tax procedures",NA
"25","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HV","To analyze and process data related to specialized accounting",NA
"26","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HW","To contribute to the internal audit and inspection of company operations",NA
"27","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HX","To manage a project",NA
"28","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","01HY","To participate in his or her integration into the job market",NA
"29","Inforoute","Accounting and Management Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=466&sanction=1","","",NA
