"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0280","Analyser la fonction de travail",NA
"2","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0281","Établir des liens entre les problèmes de santé, le Yin/Yan,les Zang/fu les Entités viscérales ainsi que les Substances en médecine traditionnelle orientale",NA
"3","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0282","Établir des liens entre les manifestations de déséquilibre énergétique et la circulation énergétique",NA
"4","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0283","Établir des liens entre les points d'acupuncture et les objectifs cliniques",NA
"5","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0284","Caractériser l'intervention en médecine traditionnelle orientale en la comparant à l'intervention en médecine occidentale",NA
"6","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0285","Analyser l'organisation anatomique des principaux systèmes physiologiques humains",NA
"7","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0286","Analyser sur le plan physiologique les données relatives à l'état de santé de la patiente et du patient",NA
"8","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0287","Établir des liens entre les données biomédicales et l'état de santé de la patiente ou du patient",NA
"9","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0288","Établir des liens entre les données biomédicales et la médecine traditionnelle orientale",NA
"10","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","0289","Déterminer le rôle des facteurs environnementaux, émotionnels et familiaux sur l'équilibre énergétique",NA
"11","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028A","Établir une relation d'aide avec la patiente ou le patient et les aidants naturels",NA
"12","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028B","Recueillir l'information nécessaire sur l'état de santé de la patiente ou du patient",NA
"13","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028C","Interpréter la maladie selon les principes de la médecine traditionnelle orientale",NA
"14","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028D","Évaluer l'état énergétique de la patiente ou du patient",NA
"15","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028E","Interagir avec diverses personnes-ressources dans un contexte professionnel",NA
"16","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028F","Établir le plan d'intervention",NA
"17","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028G","Prévenir les risques pour la santé et la sécurité",NA
"18","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028H","Localiser les points d'acupuncture sur le corps de la patiente ou du patient",NA
"19","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028J","Donner le traitement",NA
"20","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028K","Intervenir en situation d'urgence",NA
"21","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028L","Assurer le suivi des interventions auprès de la patiente ou du patient",NA
"22","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028M","Administrer un bureau d'acupuncture",NA
"23","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","028N","Optimiser son intervention clinique",NA
"24","Inforoute","Acupuncture","https://www.inforoutefpt.org/progColDet.aspx?prog=248&sanction=1","","",NA
