"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035P","To analyze the job function",NA
"2","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035Q","To communicate in the workforce",NA
"3","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035R","To adopt a customer-oriented approach",NA
"4","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035S","To process market-related information",NA
"5","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035T","To plan and develop an excursion in a natural environment",NA
"6","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035U","To supervise a group",NA
"7","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035V","To impart techniques associated with a summer activity",NA
"8","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035W","To determine the interpretive potential of an area based on natural heritage data",NA
"9","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035X","To determine the interpretive potential of an area based on cultural data",NA
"10","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035Y","To carry out an interpretive activity associated with adventure tourism",NA
"11","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","035Z","To navigate in a natural environment",NA
"12","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0360","To intervene in an emergency situation",NA
"13","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0361","To coordinate food-preparation activities in the field",NA
"14","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0362","To coordinate camping-related activities in the field",NA
"15","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0363","To impart techniques associated with a winter activity",NA
"16","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0364","To maintain equipment",NA
"17","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0365","To maintain sites and trails",NA
"18","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0366","To guide a group in a natural environment",NA
"19","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0367","To use a second language in guiding a group in a natural environment",NA
"20","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0368","To participate in developing adventure tourism products",NA
"21","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","0369","To participate in promoting the company and its products",NA
"22","Inforoute","Adventure Tourism","https://www.inforoutefpt.org/progColDet.aspx?prog=475&sanction=1","","",NA
