"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025N","To analyze the occupation",NA
"2","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025P","To interpret schematics, drawings, assembly plans and installation plans",NA
"3","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025Q","To apply shaping, assembly and installation techniques",NA
"4","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025R","To use organic and synthetic materials",NA
"5","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025S","To model and interpret mathematical results as they apply to aircraft maintenance",NA
"6","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025T","To maintain direct-current circuits on an aircraft",NA
"7","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025U","To inspect the operation of power and control components of hydraulic and pneumatic systems",NA
"8","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025V","To inspect the operation of aircraft piston engines",NA
"9","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025W","To perform activities related to the resistance of materials used in the aircraft industry",NA
"10","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025X","To clean, inspect and protect aircraft materials",NA
"11","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025Y","To overhaul aircraft piston engines",NA
"12","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","025Z","To prepare and asssemble sheet metal",NA
"13","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0260","To apply principles of aerodynamics",NA
"14","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0261","To maintain the metal structures and structural components of an aircraft",NA
"15","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0262","To maintain aircraft structures and structural components made of composite materials, wood and fabric",NA
"16","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0263","To verify simple alternating-current circuits on an aircraft",NA
"17","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0264","To maintain propellers and propeller-related systems",NA
"18","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0265","To verify communications, navigation and instrumentation systems",NA
"19","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0266","To verify the operation of aircraft turbine engines",NA
"20","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0267","To maintain flight controls and flight control surfaces",NA
"21","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0268","To apply principles of aerodynamics to flight and helicopter maintenance",NA
"22","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","0269","To maintain landing gear",NA
"23","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","026A","To overhaul aircraft turbine engines",NA
"24","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","026B","To assess the performance of piston and turbine engines",NA
"25","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","026C","To maintain aircraft systems",NA
"26","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","026D","To inspect airplanes and helicopters",NA
"27","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","026E","To maintain airplanes",NA
"28","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","026F","To maintain helicopters",NA
"29","Inforoute","Aircraft Maintenance","https://www.inforoutefpt.org/progColDet.aspx?prog=458&sanction=1","","",NA
