"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QJ","To analyze the profession",NA
"2","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QK","To manage equipment and materials",NA
"3","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QL","To admit animals for treatment",NA
"4","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QM","To ensure the proper operation of an animal facility",NA
"5","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QN","To administer nursing care",NA
"6","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QP","To administer nursing care to animals reproduced for consumption",NA
"7","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QQ","To perform clinical biochemistry and immunological tests",NA
"8","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QR","To perform cytological and histoligical tests and necropsies",NA
"9","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QS","To perform haematological tests",NA
"10","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QT","To perform microbiological and parasitology tests",NA
"11","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QU","To breed animals",NA
"12","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QV","To maintain cell and microbial cultures",NA
"13","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QW","To assist in radiology",NA
"14","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QX","To assist in surgery",NA
"15","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QY","To perform dental prophylaxis",NA
"16","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00QZ","To participate in experimental surgeries",NA
"17","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R0","To perform physiological investigations",NA
"18","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R1","To provide client services",NA
"19","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R2","To participate in an animal experiment",NA
"20","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R3","To use techniques in animal restraint",NA
"21","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R4","To use chemical and biochemical laboratory techniques",NA
"22","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R5","To associate genetic and cellular factors with the growth and reproduction of animals",NA
"23","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R6","To prevent the propagation of microorganisms and parasites",NA
"24","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R7","To establish a link between the anatomy and physiology of animals and their biological functions",NA
"25","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R8","To manage nutrituinal care",NA
"26","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00R9","To establish methods for recognizing and modifying animal behaviour",NA
"27","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00RA","To recognize pathological signs",NA
"28","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","00RB","To analyze the effects of medication on an animal",NA
"29","Inforoute","Animal Health Technology","https://www.inforoutefpt.org/progColDet.aspx?prog=438&sanction=1","","",NA
