"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MF","Analyser la fonction de travail",NA
"2","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MG","Analyser des données médicales sur le plan de l'anatomie et de la physiologie",NA
"3","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MH","Analyser des données médicales sur le plan de la pathologie",NA
"4","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MJ","Analyser des données relatives à des problèmes psychosociaux",NA
"5","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MK","Analyser des données médicales et bio-psychosociales relatives aux traitements et aux interventions",NA
"6","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00ML","Saisir et traiter de l'information",NA
"7","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MM","Analyser le dossier bio-psychosocial",NA
"8","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MN","Coder les données du dossier bio-psychosocial",NA
"9","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MP","Produire des statistiques",NA
"10","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MQ","Établir des relations professionnelles harmonieuses",NA
"11","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MR","Produire des rapports médico-administratifs",NA
"12","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MS","Analyser des données médicales sur le plan de l'oncologie",NA
"13","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MT","Traiter des registres spécialisés",NA
"14","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MU","Effectuer des études socio-médicales",NA
"15","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MV","Se reporter à la législation qui régit la pratique de la profession",NA
"16","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MW","Procéder aux applications légales découlant de situations particulières touchant les usagères et usagers",NA
"17","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MX","Assurer l'accès à l'information et la protection des droits des usagères et usagers",NA
"18","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MY","Assurer la gestion de l'information sur la santé",NA
"19","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00MZ","Assurer la gestion du service des archives et du service de l'accueil",NA
"20","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","00N0","Exécuter les tâches et les activités professionnelles courantes",NA
"21","Inforoute","Archives médicales","https://www.inforoutefpt.org/progColDet.aspx?prog=375&sanction=1","","",NA
